category,subtype,market_tier,condition,is_premium_brand,tech_generation,brand,confidence,printer_tech,is_color,is_multifunction,paper_size_max,ppm,pack_count,is_xl,ups_capacity_value,ups_capacity_unit,is_rackmount,rack_u,power_capacity_value,power_capacity_unit,audio_channels,total_power_w,has_dolby_atmos,has_subwoofer,has_anc,form_factor,mic_type,audio_resolution,video_output_res,switch_type,dpi,has_screen,is_thunderbolt,max_resolution,read_speed_mbs,scan_engine,wifi_standard,speed_class,node_count,frequency_bands,has_poe,multi_gig_ports,power_source,smart_protocol,is_outdoor,screen_size_in,resolution_standard,panel_tech,refresh_rate_hz,is_smart,mount_type,adjustment_type,num_screens,max_weight_kg,is_heavy_duty,sensor_format,max_video_res,is_body_only,mount_system,megapixels,is_pro_line,focal_range,max_aperture_f,is_kit,component_series,vram_gb,has_x3d,ram_gb,storage_gb,tech_gen,power_wattage,efficiency_rating,chipset,is_aio,is_gaming,platform_family,is_digital_edition,nas_bays,model_name,cellular_type,has_stylus,case_size_mm,is_rugged,is_specialized,gps_activity,has_touchscreen,cable_length_m,interface_type,is_braided,material,brand_compatibility,is_active,is_original,connector_gender,is_wireless,port_count,storage_type,pd_wattage,model_used,original_title,original_row_id,error_log
Accessories,protection_case,Mainstream,New,False,Current-Gen,ESR,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"ESR for iPad Pro 11 Inch Case (M4) 2024 5th Gen, Removable Magnetic Cover with Pencil Holder, Vertical Stand, Fully Supports Pencil Pro and Pencil (USB-C), Rebound 360 Series, Black",10.0,
PC Components (Core),motherboard,Mainstream,New,False,Current-Gen,ASRock,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 9000/8000/7000 Series,,,,,DDR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,ASRock AMD B850 Phantom Gaming Riptide WiFi 7 Socket AM5 Ryzen 9000/8000/7000 Series DDR5 8000+ (OC) MHz 256GB ATX Motherboard M.2 SATA3 6.0 Gb/s PCIe 5.0,11.0,
Accessories,protection_case,Mainstream,New,False,Current-Gen,MOSISO,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plastic,MacBook Pro 13 inch,,,,,,,,gpt-4o-mini,"MOSISO Compatible with MacBook Pro 13 inch Case M2 2025, 2024, 2023, 2022, 2021-2016 A2338 M1 A2251 A2289 A2159 A1989 A1708 A1706, Plastic Leopard Grain Hard Case&Keyboard Cover&Screen Protector,Black",12.0,
Peripherals & Input,keyboard,Mainstream,New,False,Current-Gen,EPOMAKER,0.9,,,,,,35.0,,,,,,,,,,,,,,,,,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"EPOMAKER Sea Salt Silent Mechanical Keyboard Switches Set, 5-Pin Switch, Pre-Lubed Linear Switch with LED Slot, 35 Pieces for Mechanical Keyboard",13.0,
"Office, Printing & Power",calculator,Mainstream,New,False,Current-Gen,Sharp,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Sharp ELECTRONICS Standard Function Calculator (EL2630PIII), White, 8 7/8 x 12 7/8",14.0,
Computers & Gaming,laptop,Mainstream,New,True,Current-Gen,Lenovo,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,Intel Core Ultra 7 165H,,,32.0,1024.0,,,,,,,,,,ThinkPad P16s Gen 3,,,,,,,,,,,,,,,,,,SSD,,gpt-4o-mini,"Lenovo ThinkPad P16s Gen 3 21KS0026US 16"" Mobile Workstation - WUXGA - Intel Core Ultra 7 165H - vPro Technology - 32 GB - 1 TB SSD - English Keyboard - Black",15.0,
Out of Scope,excluded,Mainstream,New,True,Current-Gen,THE NORTH FACE,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"THE NORTH FACE Vault Everyday Laptop Backpack | Commuter Travel Bag with Water-Repellent Finish, Spacious Main Compartment, Khaki Stone/TNF Black, One Size",16.0,
Accessories,excluded,Mainstream,New,False,Current-Gen,3M,0.9,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"3M WorkTunes Hearing Protector Replacement Ear Cushion Hygiene Kit, 1 pair, works with WorkTunes AM/FM (90541) and WorkTunes Connect + AM/FM (90542)",17.0,
Out of Scope,excluded,Mainstream,New,False,Current-Gen,Baofeng,0.9,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Ham Radio Baofeng UV-5R Radio 8W Long Range UV5R Dual Band Handheld High Power 3800mAh Rechargeable Walkie Talkies Handheld Two Way Radio with Programming Cable and Earpiece for Survival Gear,2Pack",18.0,
Audio & Media Systems,headphones,Mainstream,New,True,Current-Gen,Sennheiser,0.95,,,,,,,,,,,,,,,,,,True,over-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"Sennheiser ACCENTUM Wireless Bluetooth Headphones - 50-Hour Battery Life, Audio, Hybrid Noise Cancelling (ANC), All-Day Comfort and Clear Voice Pick-up for Calls, Black",19.0,
Audio & Media Systems,microphone,Mainstream,New,True,Current-Gen,Shure,0.95,,,,,,,,,,,,,,,,,,,,dynamic,,,,,,,,,,,,,,,,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"Shure BLX14/P31 Wireless Microphone System - 14-Hour Battery Life, 300 ft Range, UHF | Includes PGA31 Headset Mic, Bodypack Transmitter, Single Channel Receiver | H11 Band (BLX14/P31-H11)",20.0,
Accessories,mount_small,Mainstream,New,False,Current-Gen,Scosche,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,desk_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Scosche MP2DVM MagicMount Pro2 Magnetic Cell Phone Holder, Adhesive Car Dashboard Mount with Removable Vent Clip, Hands-Free Phone Stand Compatible with MagSafe, iPhone 16/15/14/13/12 Series and More",21.0,
PC Components (Core),ssd_internal,Mainstream,New,True,Current-Gen,Corsair,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen4,,,,2048.0,Gen4,,,,,,,,,,,,,,,,,,M.2 NVMe PCIe x4,,,,,,,,,NVMe,,gpt-4o-mini,"Corsair MP600 PRO LPX 2TB M.2 NVMe PCIe x4 Gen4 SSD - Optimised for PS5 (Up to 7,100MB/sec Sequential Read & 6,800MB/sec Sequential Write Speeds, High-Speed Interface, Compact Form Factor) White",22.0,
"Office, Printing & Power",ups,Mainstream,New,False,Current-Gen,GE,0.95,,,,,,2.0,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,gpt-4o-mini,"GE 6-Outlet Power Strip, 2 Pack, 1.5 Ft Extension Cord, Heavy Duty Plug, Grounded, Integrated Circuit Breaker, 3-Prong, Wall Mount, ETL Listed, White, 14833",23.0,
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,E-Z Ink,0.95,,True,,,,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"E-Z Ink 245XL Ink Cartridge Replacement for Canon 245XL 246XL Combo Pack PG-245XL CL-246XL for Canon Ink 245 and 246 with Pixma MX490 MG2522 MX492 TR4520 MG3022 MG2520 TS3122 Printer (Black, Color)",24.0,
Computers & Gaming,charger,Mainstream,New,True,Current-Gen,Lenovo,0.95,,,,,,,,,,,,65.0,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB-C,,,ThinkPad,,,M-to-F,False,,,,gpt-4o-mini,"Lenovo Laptop Charger 65W Watt USB Type C(USB-C) AC Power Adapter - ThinkPad X1 Carbon Gen 11,E16, ADLX65YDC3E",25.0,
"Cameras, Photography & Video",excluded,Mainstream,New,False,Current-Gen,GODOX,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"GODOX V100C USA Flash V100-C U 100w Round Head Touch Screen Flash for Canon,2.4G Wireless with External Flash and Global Shutter Flash Sync 1/80000s,Built-in Lithium Battery(USA Version)",26.0,
Peripherals & Input,sd_card,Mainstream,New,False,Current-Gen,SanDisk,0.95,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flash,,gpt-4o-mini,[Older Version] SanDisk 32GB 2-Pack Ultra MicroSDHC UHS-I Memory Card (2x32GB) - SDSQUAR-032G-GN6MT,27.0,
Accessories,mount_small,Mainstream,New,False,Current-Gen,LISEN,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,desk_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iPhone,,,,,,,,gpt-4o-mini,"LISEN for i Phone 17 Air for Magsafe 360 Degree Car Phone Holder, Dashboard Holder, Magnetic Holders for Car Dash, Clip Cell Cars Holders for Your Rearview Mirror, for iPhone 16 Pro Max 15 14 13 12",28.0,
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Avery,0.9,,,,,,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Avery TrueBlock File Folder Labels, 2/3"" x 3-7/16"", 750 Printable Labels, Assorted Colors, Permanent (5266)",29.0,
Audio & Media Systems,speaker,Mainstream,New,False,Current-Gen,Kicker,0.9,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Kicker 6x9 Inch PS-Series Powersports Speakers 40PS694 (Pair),30.0,
Displays & Mounting,mount_arm,Mainstream,New,False,Current-Gen,VIVO,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,desk_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"VIVO Adjustable Clamp-on Desk Leg PC Mount, Under Desk PC Mount, Computer Case CPU Holder with Tool-Free Installation, Black, MOUNT-PC01C",31.0,
Audio & Media Systems,turntable,Mainstream,New,False,Current-Gen,Victrola,0.95,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Victrola Century 6-in-1 Vinyl Record Player & Music Center – 3-Speed Turntable, CD & Cassette Player, VINYLSTREAM, Bluetooth & 3.5mm Aux, Record Player with Speakers, Mid Century Design (Walnut)",32.0,
"Office, Printing & Power",calculator,Mainstream,New,False,Legacy,Texas Instruments,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Texas Instruments TI15 TI-15 Explorer Elementary Calculator,33.0,
Out of Scope,excluded,Mainstream,New,False,Current-Gen,GE,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"GE Flat Panel Indoor HD Digital TV Antenna, Long Range Smart TV Antenna, Supports 4K 1080P HD Smart TV VHF UHF, Extendable Dipole Rabbit Ears, Adjustable Stand, 5ft Coax HDTV Cable, 33681",34.0,
Networking & Smart Home,range_extender,Mainstream,New,True,Current-Gen,NETGEAR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_6_AX,AX1600,,Dual-Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"NETGEAR WiFi 6 Mesh Range Extender (EAX12) - Add up to 1,200 sq. ft. and 15+ Devices with AX1600 Dual-Band Wireless Signal Booster & Repeater (up to 1.6Gbps Speed), WPA3 Security, Smart Roaming",35.0,
Audio & Media Systems,turntable,Mainstream,New,True,Current-Gen,Audio-Technica,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Audio-Technica AT-LP70XBT Wireless Turntable (Black/Silver),36.0,
Mobile Devices,gps_navigator,Mainstream,New,False,Current-Gen,AT&T,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256,,,,,,,,,,Turbo Hotspot 3,LTE/4G,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"AT&T Turbo Hotspot 3: 256 MB, Black - Prepaid Hotspot, Connects Up to 16 Devices, Dual Band Wi-Fi, Long Lasting Battery",37.0,
"Cameras, Photography & Video",mirrorless_dslr,Mainstream,Renewed/Refurbished,True,Legacy,Canon,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APS-C,,,,,,,,,,,,,,,,,,,,,,,EOS Kiss,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Canon New EOS Kiss (AKA Rebel G in USA/Canada) SLR AF Film Camera With 35-80mm EF Lens (Renewed),38.0,
Accessories,excluded,Mainstream,New,False,Current-Gen,Metra,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Metra 95-5817 Double-DIN Stereo Installation Dash Kit Fits Select 1995-2011 Ford, Lincoln, Mercury, and Mazda Vehicles",39.0,
"Cameras, Photography & Video",action_cam,Mainstream,New,True,Current-Gen,GoPro,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4K,,,,,,,,,,,,128.0,,,,,,,,,,HERO12 Black,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,GoPro HERO12 Black 5.3K Action Camera Bundle with 128GB Card and 50 Accessories,40.0,
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Canon,1.0,Inkjet,False,False,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Canon PGI-270 Genuine Pigment Black Ink Tank, Compatible with MG6820, MG6821, MG6822, MG5720, MG5721, MG5722, MG7720, TS5020, TS6020, TS8020, and TS9020 Printers",41.0,
Displays & Mounting,monitor,Mainstream,New,True,Current-Gen,Samsung,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,QHD_1440p,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,LS27BG652ENXGO,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Samsung 27"" Odyssey QHD G65B Curved Gaming Monitor, 240Hz, 1ms (GTG), HDR 600, Gaming Hub, 1000R, AMD FreeSync Premium Pro, LS27BG652ENXGO",42.0,
PC Components (Core),case,Mainstream,New,False,Current-Gen,Thermaltake,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Thermaltake Versa H18 Tempered Glass Black Spcc Micro ATX Gaming Computer Case CA-1J4-00S1WN-01,43.0,
Computers & Gaming,laptop,Mainstream,New,True,Current-Gen,HP,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,AMD Ryzen 5,,,16.0,512.0,,,,,,,,,,14-fa0013dx,,,,,,,True,,,,,,,,,,,,,gpt-4o-mini,"HP - Envy 2-in-1 14"" Wide Ultra XGA Touch-Screen Laptop - AMD Ryzen 5-16GB Memory - 512GB SSD - Glacier Silver Windows AI: Copilot 14-fa0013dx",44.0,
Networking & Smart Home,cable,Mainstream,New,False,Current-Gen,UGREEN,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9144,RJ45,True,,,,,,False,,,,gpt-4o-mini,"UGREEN Cat 8 Ethernet Cable 3FT, Flat High Speed 40Gbps 2000Mhz Internet Cable 26AWG Braided Network Cord RJ45 Shielded Indoor LAN Cables Compatible for Gaming PC PS5 Xbox Modem Router 3FT",45.0,
Networking & Smart Home,router,Mainstream,New,False,Current-Gen,TP-Link,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_6_AX,AX3000,,Dual-Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,TP-Link ER706W Omada Gigabit AX3000 WiFi 6 VPN Router | 1x USB 3.0 Support USB Storage and LTE Backup with LTE dongle | Supports Omada Mesh | Easy Set-up,46.0,
Out of Scope,excluded,Mainstream,New,True,Current-Gen,Sony,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Sony MEX-N5300BT Car Stereo Single Din Radio with Bluetooth, CD Player, USB/AUX",47.0,
"Office, Printing & Power",battery,Mainstream,New,True,Current-Gen,Duracell,0.95,,,,,,10.0,,,,,,357.0,mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,10 Duracell 357 303 A76 PX76 SR44W/SW LR44 AG13 Silver Oxide Battery,48.0,
Out of Scope,excluded,Mainstream,New,False,Current-Gen,JanSport,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"JanSport Right Pack Backpack - Durable Daypack with Padded 15"" Laptop Sleeve, Spacious Main Compartment & Integrated Water Bottle Pocket - Black",49.0,
Audio & Media Systems,headphones,Mainstream,New,False,Current-Gen,Turtle Beach,0.95,,,,,,,,,,,,,,2.0,,,,,over-ear,dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,3.5mm,,,,,,,False,,,,gpt-4o-mini,"Turtle Beach Recon 50 Xbox Gaming Headset - Xbox Series X, Xbox Series S, Xbox One, PS5, PS4, PlayStation, Mobile & PC with 3.5mm - Removable Mic, 40mm Speaker, Red and Blue",50.0,
Computers & Gaming,laptop,Premium,New,True,Current-Gen,Dell,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,FHD_1080p,,,,,,,,,,,,,,,,,,Core Ultra 7-165H,4.0,,32.0,512.0,,,,,,True,,,,Precision 5690,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Dell Precision 5690 Workstation Laptop (2024) | 16"" 1920x1200 FHD+ | Core Ultra 7-165H - 512GB SSD Hard Drive - 32GB RAM - Nvidia RTX A1000 | 16 cores @ 5.0 GHz - 4GB GDDR6 Win 11 Pro Black",51.0,
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,Lenovo,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,FHD_1080p,,,,,,,,,,,,,,,,,,AMD Ryzen 5 5500U,,,8.0,512.0,,,,,,,,,,IdeaPad 1,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Lenovo IdeaPad 1 Laptop, 15.6” FHD Display, AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, Windows 11 Home, 720p Camera w/Privacy Shutter, Smart Noise Cancelling, Cloud Grey",52.0,
"Office, Printing & Power",toner_ink,Mainstream,New,True,Current-Gen,Canon,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Canon Printhead (PF-04),53.0,
