product_title,product_rating,is_best_seller,is_sponsored,buy_box_availability,sustainability_tags,has_coupon,discount_percentage,product_category,product_segment,log_original_price,log_purchased_last_month,log_total_reviews,extracted_brand
"AMD RYZEN 7 9800X3D 8-Core, 16-Thread Desktop Processor",4.8,Best Seller,Organic,1,0,0,0.0,PC Components,Media,6.168564159920785,9.210440366976515,7.774015077250727,Amd
"Samsung 990 PRO SSD NVMe M.2 PCIe Gen4, M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P2T0B/AM",4.7,No Badge,Organic,1,0,0,0.25,Storage & Memory Cards,Media,5.30325515557766,9.210440366976515,9.558811758564229,Samsung
"HP Printer Paper | 8.5 x 11 Paper | Office 20 lb | 3 Ream Case - 1500 Sheets | 92 Bright | Made in USA - FSC Certified | 112090C, White",4.8,No Badge,Organic,1,1,0,0.07,"Office Supplies, Ink & Toner",Baja,3.110845080654496,10.59665973278358,10.785745689666076,Scotch
"Amazon Basics 9 inch Thermal Laminator Machine for Documents and Photos, Easy to Use for Home Office or School, White",4.6,Best Seller,Organic,1,0,0,0.31,"Office Supplies, Ink & Toner",Media,3.433664571799657,10.59665973278358,7.916078096302786,Amazon
"Apple 20W USB-C Compact Power Adapter: Fast and Convenient Charging, Type C Wall Charger",4.8,No Badge,Organic,0,0,0,0.0,"Chargers, Adapters & Cables",Baja,2.670694414558441,9.210440366976515,8.629092283913646,Apple
"Logitech M185 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Swift Grey",4.5,Best Seller,Organic,0,1,0,0.0,Computer Peripherals,Baja,2.563409711275944,9.210440366976515,10.6737115082755,Logitech
"HP 936 Black, Cyan, Magenta, Yellow Ink Cartridges Printers (4-Pack) | Works with OfficeJet 9120, OfficeJet Pro 9110, 9120, 9130, Wide Format 9730 | Eligible for Instant Ink | 6C3Z5LN",4.6,No Badge,Organic,1,0,0,0.0,"Office Supplies, Ink & Toner",Media,4.912654885736052,9.210440366976515,6.786716950605081,Tp-Link
"Fitbit Inspire 3 Health &-Fitness-Tracker with Stress Management, Workout Intensity, Sleep Tracking, 24/7 Heart Rate and more, Midnight Zen/Black One Size (S & L Bands Included)",4.3,Best Seller,Organic,1,0,0,0.2,Wearables,Media,4.614625344758847,9.210440366976515,9.9054855551988,Unknown
"HP Original 952 Cyan, Magenta, Yellow / 952XL Black Ink Cartridges (4-Pack) | Works OfficeJet 8702 OfficeJet Pro 7700, 8210, 8700 Series | Eligible for Instant Ink | N9K28AN",4.6,No Badge,Organic,1,0,0,0.0,"Office Supplies, Ink & Toner",Media,5.1216995126707605,9.210440366976515,7.870165946469845,Tp-Link
"HP 64 Black & Tri-Color Ink Cartridges for HP Printers (Combo Pack) | Works with Printer Series: Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango | Eligible for Instant Ink | X4D92AN",4.6,No Badge,Organic,0,1,0,0.0,"Office Supplies, Ink & Toner",Media,4.041119578762556,9.90353755128617,10.07601126684997,Tp-Link
"Logitech H390 Gaming Headphones, Wired Headphones with Mic, USB Headset with Microphone for PC, Noise Cancelling Microphone for Video Meetings, Music, Gaming - Black",4.3,Best Seller,Organic,0,0,0,0.0,"Audio, Sound & Recording Gear",Baja,2.8142103969306005,9.210440366976515,11.14306395922732,Logitech
"Texas Instruments TI-84 Plus Graphics Calculator, Black 320 x 240 pixels (2.8"" diagonal)",4.7,No Badge,Organic,1,0,0,0.0,"Office Supplies, Ink & Toner",Media,4.65386510752685,9.210440366976515,9.83889569664295,Texas
"Apple 2024 Mac mini Desktop Computer with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 16GB Unified Memory, 256GB SSD Storage, Gigabit Ethernet. Works with iPhone/iPad",4.8,Best Seller,Organic,0,1,0,0.0,PC Components,Media,6.294804640416468,8.517393171418904,7.213031659834869,Apple
"Anker iPhone 16 Charger, 2-Pack 20W Fast USB C Charger Block, for iPhone 16/16 Pro Max/15 Series/iPad Pro and More (Black, 2 Pack & 2 Cable)",4.6,Amazon's,Organic,1,1,0,0.37,"Chargers, Adapters & Cables",Media,2.995232148512309,9.210440366976515,9.889642145714076,Apple
"HP 910XL Black High-yield Ink Cartridge for HP Printers | Works with Printer Series: OfficeJet 8010, 8020; OfficeJet Pro 8020, 8030 | Eligible for Instant Ink | 3YL65AN",4.6,No Badge,Organic,1,0,0,0.26,"Office Supplies, Ink & Toner",Media,4.288677031682191,9.90353755128617,10.090713728663538,Tp-Link
"Apple iPad Air 11-inch with M3 chip Built for Apple Intelligence, Liquid Retina Display, 128GB, 12MP Front/Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life — Space Gray",4.8,No Badge,Organic,0,1,0,0.0,Computer Peripherals,Alta/Premium,6.244710442238636,8.699681400989514,7.348587530927593,Apple
"Amazon Basics 8-Pack 9V Alkaline Batteries, 5-Year Shelf Life - for Smoke/CO Detector, Electronics & Audio",4.7,Best Seller,Organic,1,1,0,0.0,Power & Batteries,Media,2.6166656393003573,11.002116507732016,12.352697937665852,Amazon
"VIZIO 40-inch Full HD 1080p Smart TV with DTS Virtual: X, Alexa Compatibility, Google Cast Built-in, Bluetooth Headphone Capable, (VFD40M-08 New)",4.1,Best Seller,Organic,1,0,0,0.19,TV & Video Displays,Media,5.141605075260502,9.210440366976515,8.488176242345745,Lg
"HP Original 910 Cyan, Magenta, Yellow / 910XL Black Ink Cartridges (4-Pack) | Works OfficeJet 8010, 8020 Series OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3JB41AN",4.6,No Badge,Organic,1,0,0,0.0,"Office Supplies, Ink & Toner",Media,4.681112189563248,9.90353755128617,8.843903650835497,Tp-Link
"Logitech Brio 101 Full HD 1080p Webcam for Meetings, Streaming, Desktop, Laptop, PC - Built-in Mic, Shutter, USB-A, Teams, Zoom - Black",4.4,Best Seller,Organic,1,1,0,0.0,"Audio, Sound & Recording Gear",Baja,3.7035217308508064,9.210440366976515,10.11431557812769,Logitech
"Apple 2024 MacBook Pro Laptop with M4 Pro, 12-core CPU, 16-core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black",4.8,No Badge,Organic,0,1,0,0.0,Laptops,Alta/Premium,7.407445129535729,7.601402334583733,7.10085190894405,Apple
Roku Streaming Stick Plus 2025 - 4K & HDR Roku Streaming Device for TV with Voice Remote - Free & Live TV,4.5,No Badge,Organic,0,1,0,0.0,TV & Video Displays,Baja,3.8284239815518326,9.210440366976515,6.61338421837956,Roku
Meta Quest 3 512GB | Thirty Percent Sharper Resolution — 2X Graphical Processing Power — Play Without Wires — Get Batman: Arkham Shadow and a 3-Month Trial of Meta Horizon+ Included,4.5,Best Seller,Organic,0,0,0,0.0,Video Game Consoles & Virtual Reality,Media,6.186311499267078,9.105090961257083,8.106816038947052,Duracell
"Original HP 962 Cyan, Magenta, Yellow / 962XL Black Ink Cartridges (4-Pack) | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series",4.6,No Badge,Organic,1,0,0,0.0,"Office Supplies, Ink & Toner",Media,5.04915063032459,9.210440366976515,8.756367559802975,Tp-Link
"HP 63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U64AN",4.7,No Badge,Organic,0,1,0,0.0,"Office Supplies, Ink & Toner",Media,4.157162854614252,9.210440366976515,10.875364351649829,Tp-Link
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",4.1,No Badge,Organic,1,0,0,0.25,Laptops,Media,5.442374419541463,9.210440366976515,8.247743887225516,Intel
"Scotch Heavy Duty Shipping Packing Tape, Clear, Shipping and Packaging Supplies, 1.88 in. x 54.6 yd., 6 Tape Rolls",4.8,No Badge,Organic,1,0,0,0.47,"Office Supplies, Ink & Toner",Media,3.5052570515869337,10.308985993422082,9.672122799562842,Scotch
"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",4.8,No Badge,Organic,1,0,0,0.29,Storage & Memory Cards,Media,3.58324112209094,9.210440366976515,11.748692997469808,Microsoft
"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4",4.6,No Badge,Organic,1,1,0,0.43,"Audio, Sound & Recording Gear",Media,5.855071922202427,9.210440366976515,11.013649552432474,Sony
"Fujifilm Instax Mini Instant Film, 10 Sheets x 5 Packs (Total 50 Shoots)",4.7,Best Seller,Organic,1,0,0,0.0,Cameras & Photography,Baja,4.119037174812473,9.210440366976515,8.22282213081366,Scotch
Post-it Super Sticky Easel Pad 25 in x 30 in White 30 Sheets/Pad 2 Pad/Pack Large White Premium Self Stick Flip Chart Paper Super Sticking Power (559),4.8,Best Seller,Organic,1,0,0,0.34,Small Gadget Accessories (Cases & Protectors),Media,4.204543354520176,9.210440366976515,8.832587702434553,Scotch
"Avery Insertable Plastic Dividers for 3 Ring Binders, 8 Tabs per Set, Big Tabs, Two Pockets, Multicolor Binder Dividers, Works with Sheet Protectors (11903)",4.8,Best Seller,Organic,1,0,0,0.27,Small Gadget Accessories (Cases & Protectors),Baja,1.922787731634459,10.59665973278358,8.262558973010657,Scotch
"Epson EcoTank ET-2800 Wireless Color All-in-One Cartridge-Free Supertank Printer with Scan and Copy â€“ The Ideal Basic Home Printer - Black, Medium",4.2,Best Seller,Organic,1,1,0,0.21,Printers & Scanners (Hardware),Media,5.484755438853831,8.853808274977197,9.536473630802217,Hp
"HP 962 Cyan, Magenta, Yellow Ink Cartridges for HP Printers | Works with Printer Series: OfficeJet 9010, 9020 | Eligible for Instant Ink | 3YP00AN",4.6,Amazon's,Organic,0,0,0,0.0,"Office Supplies, Ink & Toner",Media,4.464642950851115,9.210440366976515,9.481359383531425,Tp-Link
"Amazon Basics Stapler with 1000 Staples, Office Stapler, 25 Sheet Capacity, Non-Slip, Black",4.6,Best Seller,Organic,1,0,0,0.1,"Office Supplies, Ink & Toner",Baja,1.986503546020567,10.819798284210286,10.870623478415853,Amazon
"Amazon Basics Dry Erase Markers For Whiteboards, Chisel Tip, Low-Odor, Assorted Colors, Pack of 12",4.6,No Badge,Organic,0,0,0,0.0,"Office Supplies, Ink & Toner",Baja,2.0681277817795625,10.819798284210286,10.413702990176423,Amazon
Amazon Basics 8-Sheet Cross Cut Paper Shredder and Credit Card Shredder - Black,4.4,Best Seller,Organic,1,0,0,0.1,"Office Supplies, Ink & Toner",Media,3.5550623063795967,10.308985993422082,11.075102440753938,Amazon
"Anker USB C Charger(Nano II 65W), PPS 3-Port Fast Compact Foldable Wall Charger for MacBook Pro/Air, iPad Pro, Galaxy S20, Dell XPS 13, Note 20/10+, iPhone 16/16 Pro, Steam Deck, and More",4.6,No Badge,Organic,1,1,0,0.35,"Chargers, Adapters & Cables",Media,3.7133281345162463,9.210440366976515,9.757305042358048,Dell
"Sceptre New 27-inch Gaming Monitor 100Hz 1ms DisplayPort HDMI x2 100% sRGB AMD FreeSync Build-in Speakers, Eye Care Frameless Machine Black 2024 (E275W-FW100T)",4.4,Best Seller,Organic,1,0,0,0.18,TV & Video Displays,Media,4.795542580971757,9.210440366976515,8.866722667194098,Amd
Roku Streaming Stick 4K - HDR & Dolby Vision Roku Streaming Device for TV with Voice Remote & Long-Range Wi-Fi - Free & Live TV,4.7,No Badge,Organic,0,1,0,0.0,TV & Video Displays,Baja,3.5550623063795967,9.210440366976515,11.41048291014307,Roku
"HP DeskJet 2855e Wireless All-in-One Color Inkjet Printer, Scanner, Copier, Best-for-home, 3 months of Instant Ink included, Single-band Wi-Fi connectivity (588S5A)",3.9,Best Seller,Organic,1,1,0,0.33,"Office Supplies, Ink & Toner",Media,4.5107496103686,9.90353755128617,9.32500744695431,Tp-Link
"Amazon Basics Full Motion Articulating TV Monitor Wall Mount for 26"" to 55"" TVs and Flat Panels up to 80 Lbs, Black",4.6,No Badge,Organic,1,0,0,0.06,TV & Video Displays,Baja,3.241810796150697,9.210440366976515,10.852516492998056,Amazon
"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video, Clear Audio, HD Light Correction, PC Camera Webcam, Works with Skype, Zoom, Facetime, PC, Laptop, Mac, Tablet - Black",4.6,No Badge,Organic,1,1,0,0.14,Computer Peripherals,Media,4.262539022051294,9.210440366976515,9.947695807200448,Logitech
"Canon PG-275 / CL-276 Genuine Ink Value Pack (2 Cartridges), Compatible with TS3520/3522/4722/3720/3722, TR4720",4.6,No Badge,Organic,1,0,0,0.13,"Office Supplies, Ink & Toner",Media,3.7133281345162463,9.90353755128617,9.84225024306494,Canon
"Samsung Galaxy Buds 3 Pro AI True Wireless Bluetooth Earbuds, Noise Cancelling, Sound Optimization, Redesigned Comfort Fit, Silver [US Version, Amazon Exclusive, 2Yr Warranty]",4.2,No Badge,Organic,1,0,0,0.24,Wearables,Media,5.525413097700675,9.210440366976515,8.07402621612406,Samsung
"HP 63 Black Ink Cartridge for HP Printers | Works with Printer Series: DeskJet 1112, 2130, 3630; ENVY 4510, 4520; OfficeJet 3830, 4650, 5200 | Eligible for Instant Ink | F6U62AN",4.7,No Badge,Organic,1,1,0,0.13,"Office Supplies, Ink & Toner",Media,3.6011405398059297,10.308985993422082,11.451677523930725,Tp-Link
"Xbox Wireless Gaming Controller (2025) – Carbon Black – Play on Xbox, Windows, Android, iOS, FireTV Sticks, Smart TVs, VR Headsets",4.6,Best Seller,Organic,0,0,0,0.17,Video Game Consoles & Virtual Reality,Media,4.18950321539533,9.210440366976515,10.130822308468806,Vivo
"HP 923 Black, Cyan, Magenta, Yellow Ink Cartridges Printers | Works with Printer Series: OfficeJet 8120, OfficeJet Pro 8130 | Eligible for Instant Ink | 6C3Y6LN",4.6,No Badge,Organic,1,0,0,0.0,"Office Supplies, Ink & Toner",Media,4.552718325985667,9.210440366976515,7.077498053569231,Tp-Link
"Apple AirPods Max Wireless Over-Ear Headphones, Pro-Level Active Noise Cancellation, Transparency Mode, Personalized Spatial Audio, USB-C Charging, Bluetooth Headphones for iPhone - Midnight",4.6,No Badge,Organic,0,0,0,0.0,Wearables,Alta/Premium,6.310190968315922,8.699681400989514,7.620705086838262,Apple
"APC UPS Battery Backup and Surge Protector, 600VA/330 Watts Backup Battery Power Supply, BE600M1 Back-UPS with USB Charger Port",4.5,Best Seller,Organic,0,0,0,0.0,"Chargers, Adapters & Cables",Media,4.499809670330265,9.210440366976515,10.484221628517084,Duracell
Amazon Basics 24 Count AA & AAA High-Performance Alkaline Batteries Value Pack - 12 Double AA Batteries and 12 Triple AAA Batteries,4.7,No Badge,Organic,1,0,0,0.13,Power & Batteries,Media,2.554899021608035,10.308985993422082,10.508732049920162,Amazon
"Scotch Thermal Laminating Pouches, 200 Count, Clear, 3 mil., Ideal Office or School Supplies, Fits Letter Sized Paper (8.9 in. × 11.4 in.)",4.9,No Badge,Organic,1,0,0,0.42,"Office Supplies, Ink & Toner",Media,3.790758917935107,9.90353755128617,10.24998083886772,Scotch
"Fitbit Charge 6 Fitness Tracker with Google apps, Heart Rate on Exercise Equipment, 6-Months Premium Membership Included, GPS, Health Tools and More, Obsidian/Black, One Size (S & L Bands Included)",4.1,No Badge,Organic,1,0,0,0.25,Wearables,Media,5.081093757744817,9.105090961257083,9.0641578617981,Roku
"Anker Power Bank(PowerCore 10K),Compact Travel-Ready 10,000mAh Battery Pack with PowerIQ Charging Technology,5V/3A High-Speed Charging for iPhone,iPad,and More (USB-C Input and Output（Black），1pack)",4.5,No Badge,Organic,0,1,0,0.0,Small Gadget Accessories (Cases & Protectors),Media,3.0814511489565284,9.210440366976515,11.612381583933727,Apple
