category,market_tier,condition,is_premium_brand,tech_generation,ram_gb,storage_gb,size_value,performance_value,power_wattage,resolution_standard,cpu_gpu_tier,connectivity,brand,pack_count,confidence,original_title,original_row_id,error_log
Accessories & Consumables,Premium,New,True,Current-Gen,,,,,,,,,Apple,1.0,1.0,"Apple AirTag. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",17.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Texas Instruments,1.0,0.95,"Texas Instruments TI-84 Plus CE Color Graphing Calculator, Black",18.0,
Tablets & E-Readers,Premium,New,True,Current-Gen,,128.0,11.0,,,2K/QHD (1440p),A16,WiFi 6,Apple,1.0,1.0,"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Blue",19.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,1.5,,,,Amazon Basics,48.0,1.0,"Amazon Basics 48-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",20.0,
Laptops & Chromebooks,Premium,New,True,Current-Gen,16.0,256.0,13.6,12.0,,2K/QHD (1440p),M4,,Apple,1.0,1.0,"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",21.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Texas Instruments,1.0,0.9,Texas Instruments TI-30Xa Scientific Calculator,22.0,
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Sharpie,36.0,1.0,Sharpie Permanent Markers Bulk Set Fine Tip Markers Set For Plastic Metal Wood And More Black 36 Count,23.0,
Smartphones & Wearables,Premium,New,True,Current-Gen,,,42.0,,,2K/QHD (1440p),,GPS,Apple,1.0,1.0,"Apple Watch Series 10 [GPS 42mm case] Smartwatch with Rose Gold Aluminium Case with Light Blush Sport Band - S/M. Fitness Tracker, ECG App, Always-On Retina Display, Water Resistant",24.0,
Tablets & E-Readers,Mainstream,New,True,Current-Gen,,64.0,11.0,,,,,,Samsung,1.0,0.95,"Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite",25.0,
Networking & Smart Home,Mainstream,New,False,Current-Gen,,,,1200.0,,,,Dual Band 5GHz/2.4GHz,TP-Link,1.0,0.9,"TP-Link AC1200 WiFi Extender, 2025 Wirecutter Best WiFi Extender, 1.2Gbps Home Signal Booster, Dual Band 5GHz/2.4GHz, Up to 1600 Sq.ft and 32 Devices, EasyMesh Compatible, One Ethernet Port (RE315)",26.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,8.9,,,,,,Scotch,100.0,1.0,"Scotch Thermal Laminating Pouches, for Use with Thermal Laminators, 8.9 x 11.4 Inches, Letter Size Sheets, 100-Pack",27.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Duracell,24.0,1.0,"Duracell Coppertop AAA Batteries with Power Boost Ingredients, 24 Count Pack Triple A Battery with Long-Lasting Power, Alkaline AAA Battery for Household and Office Devices",28.0,
Accessories & Consumables,Premium,New,True,Current-Gen,,,,,,,,,Apple,1.0,0.9,"Apple Pencil Pro: Latest Model - Device Compatibility Check Required - Pixel-Perfect Precision, Tilt and Pressure Sensitivity, Perfect for Note-Taking, Drawing, and Art. Charges and Pairs Magnetically",29.0,
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,Bluetooth 5.2,JBL,1.0,1.0,"JBL Vibe Beam - True Wireless JBL Deep Bass Sound Earbuds, Bluetooth 5.2, Water & Dust Resistant, Hands-free call with VoiceAware, Up to 32 hours of battery life (Black)",30.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,48.0,,,,,,Scotch,6.0,0.9,"Scotch Heavy Duty Shipping and Moving Packing Tape, Clear, Packing and Moving Supplies, 1.88 in. x 22.2 yd., 6 Tape Rolls with Dispensers",31.0,
Accessories & Consumables,Budget,New,False,Legacy,,,8.5,,,,,,Amazon Basics,100.0,1.0,"Amazon Basics File Folders with Tabs for Filing, 1/3-Cut Tab, Assorted Positions, 8.5x11 inches, Letter Size, Manila, Pack of 100",32.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,128.0,,100.0,,,,,Amazon Basics,1.0,1.0,"Amazon Basics Micro SDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB, Black",33.0,
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,,,,,Texas Instruments,1.0,0.95,Texas Instruments TI-30XS MultiView Scientific Calculator,34.0,
Accessories & Consumables,Budget,New,False,Current-Gen,,,,,,,,,HP,1.0,0.9,"HP 910 Cyan, Magenta, Yellow Ink Cartridges | Works with HP OfficeJet 8010, 8020 Series, HP OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3YN97AN, 3 Count (Pack of 1)",35.0,
Accessories & Consumables,Premium,New,True,Current-Gen,,,,,,,,,Apple,1.0,1.0,"Apple Pencil (USB-C): Device Compatibility Check Required - Pixel-Perfect Precision, Tilt Sensitivity, Perfect for Note-Taking, Drawing, and Signing Documents. Charges and Pairs with USB-C",36.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,2048.0,,,,,,USB 3.0,Seagate,1.0,0.95,"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",37.0,
Audio & Video Equipment,Mainstream,New,True,Current-Gen,,,,,,,,Bluetooth,Beats,1.0,0.9,"Beats Solo 4 - Wireless Bluetooth On-Ear Headphones, Apple & Android Compatible, Up to 50 Hours of Battery Life - Cloud Pink",38.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Duracell,28.0,1.0,"Duracell Coppertop AA Batteries with Power Boost Ingredients, 28 Count (Pack of 1) Long-lasting Alkaline Double AA Battery in Re-closable Pack for Quick Access and Organized Storage",39.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,128.0,,,,,,,SanDisk,1.0,0.95,"SanDisk 128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN",40.0,
PC Components (Core),Premium,New,True,Current-Gen,,,,,,,Ryzen 7,,AMD,1.0,0.95,"AMD RYZEN 7 9800X3D 8-Core, 16-Thread Desktop Processor",41.0,
PC Components (Core),Premium,New,True,Current-Gen,,2048.0,,7450.0,,,,,Samsung,1.0,1.0,"Samsung 990 PRO SSD NVMe M.2 PCIe Gen4, M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P2T0B/AM",42.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,8.5,,,,,,HP,3.0,1.0,"HP Printer Paper | 8.5 x 11 Paper | Office 20 lb | 3 Ream Case - 1500 Sheets | 92 Bright | Made in USA - FSC Certified | 112090C, White",43.0,
Peripherals & Input Devices,Budget,New,False,Current-Gen,,,9.0,,,,,,Amazon Basics,1.0,0.95,"Amazon Basics 9 inch Thermal Laminator Machine for Documents and Photos, Easy to Use for Home Office or School, White",44.0,
Accessories & Consumables,Premium,New,True,Current-Gen,,,,,20.0,,,,Apple,1.0,1.0,"Apple 20W USB-C Compact Power Adapter: Fast and Convenient Charging, Type C Wall Charger",45.0,
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,1000.0,,,,Wireless,Logitech,1.0,0.95,"Logitech M185 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Swift Grey",46.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,4.0,1.0,"HP 936 Black, Cyan, Magenta, Yellow Ink Cartridges Printers (4-Pack) | Works with OfficeJet 9120, OfficeJet Pro 9110, 9120, 9130, Wide Format 9730 | Eligible for Instant Ink | 6C3Z5LN",47.0,
Smartphones & Wearables,Mainstream,New,False,Current-Gen,,,,,,,,,Fitbit,1.0,0.95,"Fitbit Inspire 3 Health &-Fitness-Tracker with Stress Management, Workout Intensity, Sleep Tracking, 24/7 Heart Rate and more, Midnight Zen/Black One Size (S & L Bands Included)",48.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,4.0,1.0,"HP Original 952 Cyan, Magenta, Yellow / 952XL Black Ink Cartridges (4-Pack) | Works OfficeJet 8702 OfficeJet Pro 7700, 8210, 8700 Series | Eligible for Instant Ink | N9K28AN",49.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,2.0,0.95,"HP 64 Black & Tri-Color Ink Cartridges for HP Printers (Combo Pack) | Works with Printer Series: Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango | Eligible for Instant Ink | X4D92AN",50.0,
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,Wired,Logitech,1.0,1.0,"Logitech H390 Gaming Headphones, Wired Headphones with Mic, USB Headset with Microphone for PC, Noise Cancelling Microphone for Video Meetings, Music, Gaming - Black",51.0,
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,2.8,,,,,,Texas Instruments,1.0,0.95,"Texas Instruments TI-84 Plus Graphics Calculator, Black 320 x 240 pixels (2.8"" diagonal)",52.0,
"Desktops, Workstations & Servers",Premium,New,True,Cutting-Edge,16.0,256.0,,,,,M4,Gigabit Ethernet,Apple,1.0,1.0,"Apple 2024 Mac mini Desktop Computer with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 16GB Unified Memory, 256GB SSD Storage, Gigabit Ethernet. Works with iPhone/iPad",53.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,20.0,,,,Anker,2.0,0.9,"Anker iPhone 16 Charger, 2-Pack 20W Fast USB C Charger Block, for iPhone 16/16 Pro Max/15 Series/iPad Pro and More (Black, 2 Pack & 2 Cable)",54.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,1.0,1.0,"HP 910XL Black High-yield Ink Cartridge for HP Printers | Works with Printer Series: OfficeJet 8010, 8020; OfficeJet Pro 8020, 8030 | Eligible for Instant Ink | 3YL65AN",55.0,
Tablets & E-Readers,Premium,New,True,Current-Gen,,128.0,11.0,,,2K/QHD (1440p),M3,WiFi 6E,Apple,1.0,1.0,"Apple iPad Air 11-inch with M3 chip Built for Apple Intelligence, Liquid Retina Display, 128GB, 12MP Front/Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life — Space Gray",56.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Amazon Basics,8.0,0.95,"Amazon Basics 8-Pack 9V Alkaline Batteries, 5-Year Shelf Life - for Smoke/CO Detector, Electronics & Audio",57.0,
Displays & Mounting,Mainstream,New,False,Current-Gen,,,40.0,,,FHD (1080p),,Bluetooth,VIZIO,1.0,0.95,"VIZIO 40-inch Full HD 1080p Smart TV with DTS Virtual: X, Alexa Compatibility, Google Cast Built-in, Bluetooth Headphone Capable, (VFD40M-08 New)",58.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,4.0,1.0,"HP Original 910 Cyan, Magenta, Yellow / 910XL Black Ink Cartridges (4-Pack) | Works OfficeJet 8010, 8020 Series OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3JB41AN",59.0,
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,FHD (1080p),,USB-A,Logitech,1.0,0.95,"Logitech Brio 101 Full HD 1080p Webcam for Meetings, Streaming, Desktop, Laptop, PC - Built-in Mic, Shutter, USB-A, Teams, Zoom - Black",60.0,
Laptops & Chromebooks,Premium,New,True,Cutting-Edge,24.0,512.0,14.2,,,2K/QHD (1440p),M4 Pro,,Apple,1.0,1.0,"Apple 2024 MacBook Pro Laptop with M4 Pro, 12-core CPU, 16-core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black",61.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,4K/UHD (2160p),,,Roku,1.0,1.0,Roku Streaming Stick Plus 2025 - 4K & HDR Roku Streaming Device for TV with Voice Remote - Free & Live TV,62.0,
Gaming Systems & VR,Premium,New,True,Current-Gen,,512.0,,,,2K/QHD (1440p),,,Meta,1.0,1.0,Meta Quest 3 512GB | Thirty Percent Sharper Resolution — 2X Graphical Processing Power — Play Without Wires — Get Batman: Arkham Shadow and a 3-Month Trial of Meta Horizon+ Included,63.0,
Accessories & Consumables,Mainstream,New,True,Current-Gen,,,,,,,,,HP,4.0,1.0,"Original HP 962 Cyan, Magenta, Yellow / 962XL Black Ink Cartridges (4-Pack) | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series",64.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,1.0,1.0,"HP 63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U64AN",65.0,
Laptops & Chromebooks,Mainstream,New,False,Current-Gen,4.0,64.0,14.0,,,HD/HD+,Celeron N4020,,HP,1.0,0.95,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",66.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,1.88,,,,,,Scotch,6.0,1.0,"Scotch Heavy Duty Shipping Packing Tape, Clear, Shipping and Packaging Supplies, 1.88 in. x 54.6 yd., 6 Tape Rolls",67.0,
Accessories & Consumables,Mainstream,New,True,Current-Gen,,256.0,,190.0,,,,,SanDisk,1.0,0.9,"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",68.0,
Audio & Video Equipment,Premium,New,True,Current-Gen,,,,,,,,Wireless,Sony,1.0,1.0,"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4",69.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Fujifilm,5.0,0.95,"Fujifilm Instax Mini Instant Film, 10 Sheets x 5 Packs (Total 50 Shoots)",70.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,30.0,,,,,,Post-it,2.0,1.0,Post-it Super Sticky Easel Pad 25 in x 30 in White 30 Sheets/Pad 2 Pad/Pack Large White Premium Self Stick Flip Chart Paper Super Sticking Power (559),71.0,
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Avery,1.0,0.9,"Avery Insertable Plastic Dividers for 3 Ring Binders, 8 Tabs per Set, Big Tabs, Two Pockets, Multicolor Binder Dividers, Works with Sheet Protectors (11903)",72.0,
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,,,,Wireless,Epson,1.0,0.95,"Epson EcoTank ET-2800 Wireless Color All-in-One Cartridge-Free Supertank Printer with Scan and Copy â€“ The Ideal Basic Home Printer - Black, Medium",73.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,3.0,0.9,"HP 962 Cyan, Magenta, Yellow Ink Cartridges for HP Printers | Works with Printer Series: OfficeJet 9010, 9020 | Eligible for Instant Ink | 3YP00AN",74.0,
Accessories & Consumables,Budget,New,False,Current-Gen,,,,,,,,,Amazon Basics,1000.0,0.9,"Amazon Basics Stapler with 1000 Staples, Office Stapler, 25 Sheet Capacity, Non-Slip, Black",75.0,
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Amazon Basics,12.0,1.0,"Amazon Basics Dry Erase Markers For Whiteboards, Chisel Tip, Low-Odor, Assorted Colors, Pack of 12",76.0,
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Amazon Basics,1.0,1.0,Amazon Basics 8-Sheet Cross Cut Paper Shredder and Credit Card Shredder - Black,77.0,
Accessories & Consumables,Mainstream,New,True,Current-Gen,,,,65.0,65.0,,,,Anker,1.0,0.9,"Anker USB C Charger(Nano II 65W), PPS 3-Port Fast Compact Foldable Wall Charger for MacBook Pro/Air, iPad Pro, Galaxy S20, Dell XPS 13, Note 20/10+, iPhone 16/16 Pro, Steam Deck, and More",78.0,
Displays & Mounting,Mainstream,New,False,Current-Gen,,,27.0,100.0,,FHD (1080p),,"HDMI x2, DisplayPort",Sceptre,1.0,0.95,"Sceptre New 27-inch Gaming Monitor 100Hz 1ms DisplayPort HDMI x2 100% sRGB AMD FreeSync Build-in Speakers, Eye Care Frameless Machine Black 2024 (E275W-FW100T)",79.0,
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,4K/UHD (2160p),,Long-Range Wi-Fi,Roku,1.0,0.95,Roku Streaming Stick 4K - HDR & Dolby Vision Roku Streaming Device for TV with Voice Remote & Long-Range Wi-Fi - Free & Live TV,80.0,
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,,,,Single-band Wi-Fi,HP,1.0,0.9,"HP DeskJet 2855e Wireless All-in-One Color Inkjet Printer, Scanner, Copier, Best-for-home, 3 months of Instant Ink included, Single-band Wi-Fi connectivity (588S5A)",81.0,
Displays & Mounting,Budget,New,False,Current-Gen,,,55.0,,,,,,Amazon Basics,1.0,0.9,"Amazon Basics Full Motion Articulating TV Monitor Wall Mount for 26"" to 55"" TVs and Flat Panels up to 80 Lbs, Black",82.0,
Audio & Video Equipment,Mainstream,New,True,Current-Gen,,,,30.0,,FHD (1080p),,,Logitech,1.0,0.9,"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video, Clear Audio, HD Light Correction, PC Camera Webcam, Works with Skype, Zoom, Facetime, PC, Laptop, Mac, Tablet - Black",83.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Canon,2.0,1.0,"Canon PG-275 / CL-276 Genuine Ink Value Pack (2 Cartridges), Compatible with TS3520/3522/4722/3720/3722, TR4720",84.0,
Audio & Video Equipment,Mainstream,New,True,Current-Gen,,,,,,,,Bluetooth,Samsung,2.0,1.0,"Samsung Galaxy Buds 3 Pro AI True Wireless Bluetooth Earbuds, Noise Cancelling, Sound Optimization, Redesigned Comfort Fit, Silver [US Version, Amazon Exclusive, 2Yr Warranty]",85.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,1.0,0.95,"HP 63 Black Ink Cartridge for HP Printers | Works with Printer Series: DeskJet 1112, 2130, 3630; ENVY 4510, 4520; OfficeJet 3830, 4650, 5200 | Eligible for Instant Ink | F6U62AN",86.0,
Peripherals & Input Devices,Mainstream,New,True,Current-Gen,,,,,,,,Bluetooth,Xbox,1.0,0.95,"Xbox Wireless Gaming Controller (2025) – Carbon Black – Play on Xbox, Windows, Android, iOS, FireTV Sticks, Smart TVs, VR Headsets",87.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,HP,4.0,0.95,"HP 923 Black, Cyan, Magenta, Yellow Ink Cartridges Printers | Works with Printer Series: OfficeJet 8120, OfficeJet Pro 8130 | Eligible for Instant Ink | 6C3Y6LN",88.0,
Audio & Video Equipment,Premium,New,True,Current-Gen,,,,,,,,Bluetooth,Apple,1.0,1.0,"Apple AirPods Max Wireless Over-Ear Headphones, Pro-Level Active Noise Cancellation, Transparency Mode, Personalized Spatial Audio, USB-C Charging, Bluetooth Headphones for iPhone - Midnight",89.0,
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,330.0,,,,APC,1.0,0.9,"APC UPS Battery Backup and Surge Protector, 600VA/330 Watts Backup Battery Power Supply, BE600M1 Back-UPS with USB Charger Port",90.0,
Accessories & Consumables,Budget,New,False,Current-Gen,,,,,,,,,Amazon Basics,24.0,1.0,Amazon Basics 24 Count AA & AAA High-Performance Alkaline Batteries Value Pack - 12 Double AA Batteries and 12 Triple AAA Batteries,91.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,8.9,,,,,,Scotch,200.0,1.0,"Scotch Thermal Laminating Pouches, 200 Count, Clear, 3 mil., Ideal Office or School Supplies, Fits Letter Sized Paper (8.9 in. × 11.4 in.)",92.0,
Smartphones & Wearables,Mainstream,New,True,Current-Gen,,,,,,,,Bluetooth,Fitbit,1.0,1.0,"Fitbit Charge 6 Fitness Tracker with Google apps, Heart Rate on Exercise Equipment, 6-Months Premium Membership Included, GPS, Health Tools and More, Obsidian/Black, One Size (S & L Bands Included)",93.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Anker,1.0,0.9,"Anker Power Bank(PowerCore 10K),Compact Travel-Ready 10,000mAh Battery Pack with PowerIQ Charging Technology,5V/3A High-Speed Charging for iPhone,iPad,and More (USB-C Input and Output（Black），1pack)",94.0,
Accessories & Consumables,Mainstream,New,True,Current-Gen,,1024.0,,1050.0,,,,USB 3.2 Gen 2,SAMSUNG,1.0,1.0,"SAMSUNG T7 Portable SSD, 1TB External Solid State Drive, Speeds Up to 1,050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray",95.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,0.9,,,,,,BIC,24.0,0.95,"BIC Xtra Strong Mechanical Pencils with Erasers, Thick Point (0.9mm), 24-Count, Mechanical Pencils for School or Office Supplies",96.0,
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,12000.0,,,,Wireless,Logitech,1.0,0.95,"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - Black",97.0,
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,Bluetooth 5.4,TRANSFORMERS,1.0,0.9,"TRANSFORMERS Wireless Earbuds Bluetooth 5.4 Open Ear Earbuds Over The Ear Earphones with Ear Hooks,60H Playtime,IPX5 Waterproof,Dual Mic Clear Call,for Running Workout,TF-T07 Sliver-Optimus Prime",98.0,
Peripherals & Input Devices,Budget,New,False,Legacy,,,9.0,,,,,,Scotch,1.0,0.9,"Scotch TL901X Thermal Laminator, 1 Laminating Machine, Gray, Laminate School Assignments and Documents, for Dorm Room or School Supplies, 9 in.",99.0,
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,Bluetooth 5.4,Monster,1.0,1.0,"Monster Open AC601 Wireless Earbuds, Crystal Clear Call, USB-C Charging, Bluetooth 5.4 Open Earphones with ENC, IPX5 Waterproof Wireless Clip-on Earbud, 32H Playtime Earbuds (White)",100.0,
Peripherals & Input Devices,Budget,New,False,Legacy,,,,,,,,,HP,1.0,0.9,"HP 64XL Black High-yield Ink Cartridge for HP Printers | Works with Printer Series: ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango | Eligible for Instant Ink | N9J92AN",101.0,
