category,subtype,market_tier,condition,is_premium_brand,tech_generation,brand,confidence,printer_tech,is_color,is_multifunction,paper_size_max,ppm,pack_count,is_xl,ups_capacity_value,ups_capacity_unit,is_rackmount,rack_u,power_capacity_value,power_capacity_unit,audio_channels,total_power_w,has_dolby_atmos,has_subwoofer,has_anc,form_factor,mic_type,audio_resolution,video_output_res,switch_type,dpi,has_screen,is_thunderbolt,max_resolution,read_speed_mbs,scan_engine,wifi_standard,speed_class,node_count,frequency_bands,has_poe,multi_gig_ports,power_source,smart_protocol,is_outdoor,screen_size_in,resolution_standard,panel_tech,refresh_rate_hz,is_smart,mount_type,adjustment_type,num_screens,max_weight_kg,is_heavy_duty,sensor_format,max_video_res,is_body_only,mount_system,megapixels,is_pro_line,focal_range,max_aperture_f,is_kit,component_series,vram_gb,has_x3d,ram_gb,storage_gb,tech_gen,power_wattage,efficiency_rating,chipset,is_aio,is_gaming,platform_family,is_digital_edition,nas_bays,model_name,cellular_type,has_stylus,case_size_mm,is_rugged,is_specialized,gps_activity,has_touchscreen,cable_length_m,interface_type,is_braided,material,brand_compatibility,is_active,is_original,connector_gender,is_wireless,port_count,storage_type,pd_wattage,model_used,original_title,original_row_id
Audio & Media Systems,earbuds,Mainstream,New,True,Current-Gen,JBL,0.95,,,,,,,,,,,,,,,,,,True,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"JBL Reflect Aero - True Wireless Noise Cancelling Active Earbuds, 6 mics for Perfect Calls with VoiceAware, Extreme dustproof & Waterproof, Comfortable, Secure fit, 24hr with Fast-Charging (Black)",10
Audio & Media Systems,earbuds,Mainstream,New,False,Current-Gen,JVC,0.9,,,,,,,,,,,,,,,,,,,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plastic,,,,,,,,,gpt-4o-mini,"JVC Gumy in Ear Earbud Headphones with Paper Package, Powerful Sound, Comfortable and Secure Fit, Silicone Ear Pieces S/M/L - HAFX7GN (Green)",11
"Office, Printing & Power",charger,Mainstream,New,True,Current-Gen,ESR,0.9,,,,,,,,,,,,15.0,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,gpt-4o-mini,"ESR for MagSafe Charger Stand, 3 in 1 Charging Station with CryoBoost, Phone-Cooling Wireless Charging Station, Qi2 Certified 15W MagSafe Stand, for iPhone16/15/14/13/12, AirPods, Apple Watch, Black",12
PC Components (Core),psu,Premium,New,True,Current-Gen,ASUS,0.95,,,,,,,,,,,,1200.0,W,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATX 3.0,,,,,,1200.0,80_Plus_Titanium,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"ASUS ROG Loki SFX-L 1200W Titanium PSU (Fully Modular Power Supply, 80+ Titanium, 120mm PWM ARGB Fan, Aura Sync, ATX 3.0 Compatible, PCIe 5.0 Ready, 10 Year Warranty)",13
Out of Scope,excluded,Mainstream,New,False,Current-Gen,Stealthcam,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Stealthcam 360 CAM MAX Cartridge​ Rechargeable Lithium Battery Pack​,14
Out of Scope,excluded,Mainstream,New,False,Current-Gen,Humminbird,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Humminbird XPLORE 9 GPS Fish Finder with Transducer, MEGA Side Imaging+ & HD Touchscreen Display",15
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,E-Z Ink,0.95,Inkjet,True,False,A4,,4.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,E-Z Ink Compatible LC401XL Ink Cartridge Replacement for Brother LC401 XL LC401XL LC 401 Ink High Yield to use with Brother MFC-J1010DW MFC-J1012DW MFC-J1170DW DCP-J1800DW DCP-J1140DW Printer (4 Pack),16
Displays & Mounting,tv,Premium,New,True,Current-Gen,Sony,1.0,,,,,,,,,,,,,,2.1,,,,,,,,4K_UHD,,,,,,,,,,,,,,,,,55.0,4K_UHD,LED,,True,,,,,,,4K,,,,,,,,,,,,,,,,,,,,,,XR55X90L,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Sony 55 Inch 4K Ultra HD TV X90L Series: BRAVIA XR Full Array LED Smart Google TV with Dolby Vision HDR and Exclusive Features for The PlayStation® 5 XR55X90L- Latest Model,Black",17
Accessories,protection_case,Mainstream,New,False,Legacy,Lutron,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Lutron Claro 2 Gang Decorator/Rocker Wallplate, For Light Dimmers, Switches and Accessories, Snap-On Installation, No Visible Screws, Satin, SC-2-SW, Snow",18
Accessories,excluded,Mainstream,New,False,Current-Gen,excluded,0.8,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,4PCS Breadboards Kit Include 2PCS 830 Point 2PCS 400 Point Solderless Breadboards for Proto Shield Distribution Connecting Blocks,19
"Office, Printing & Power",scanner,Mainstream,New,False,Current-Gen,RICOH,0.95,,,,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"RICOH fi-8040 Fast Front Office & Desktop Document, Receipt, ID Card Scanner with 50 Page Auto Feeder and PC-Less DirectScan Capability",20
Accessories,mount_small,Mainstream,New,False,Current-Gen,LISEN,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,desk_arm,Fixed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"LISEN Back to School Phone Mount for Car Vent [Never Blocking] 360 Rotatable Car Phone Holder Air Vent Clip Hands Free Cellphone Car Mount for iPhone 16 Pro Max Plus 16e 15 14 Samsung Android, Black",21
Accessories,protection_case,Mainstream,New,True,Current-Gen,Apple,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silicone,iPhone 15 Plus,,,,,,,,gpt-4o-mini,Apple iPhone 15 Plus Silicone Case with MagSafe - Black,22
Computers & Gaming,laptop,Mainstream,New,True,Current-Gen,HP,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,,,,,,,,,,,,,,,i7-1355U,,,32.0,1024.0,,,,,,,,,,2025 Premium Laptop,,,,,,,True,,,,,,,,,,,,,gpt-4o-mini,"HP 2025 Premium Laptop, 17.3"" HD+ Touchscreen, Intel Core i7-1355U, 32GB RAM, 1TB PCIe SSD, Webcam, FP Reader, Backlit Keyboard, Wi-Fi 6, Windows 11 Home",23
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Canon,0.95,,True,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Canon CLI-271 Genuine BK/CMY 4 Color Value Pack, Compatible with MG6820, MG6821, MG6822, MG5720, MG5721, MG5722, MG7720, TS5020, TS6020, TS8020, and TS9020 (Optional) Printers",24
Peripherals & Input,controller,Mainstream,New,False,Current-Gen,8Bitdo,0.95,,,,,,,,,,,,,,,,,,,,,,,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,Wired,,,"Xbox Series X|S, Xbox One, Apple, Windows, Android",,,,False,,,,gpt-4o-mini,"8Bitdo Ultimate 3-Mode Controller, Hall Effect Joysticks, Pro Back Buttons, Wired Only for Xbox Series X|S & Xbox One, Compatibility with Apple, Windows & Android, Officially Licensed (Jade)",25
Displays & Mounting,mount_wall,Mainstream,New,False,Current-Gen,SANUS,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,Fixed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"SANUS Low Profile TV Wall Mount for 40"" to 80"" TVs - Universal Fixed Wall Mount TV Bracket, Slim 1” Profile - 3 Step Easy Install w/Included Hardware - UL Certified",26
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,HP,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,FHD_1080p,,,,,,,,,,,,,,,,,,Intel Core i5-1135G7,,,16.0,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"HP 15.6"" Laptop, Intel Core i5-1135G7 Processor, Intel Iris Xe Graphics, 15.6"" FHD Anti-Glare Display, Online Meeting Ready, HDMI, Wi-Fi and Bluetooth, Windows 11 Home(16GB RAM | 1TB SSD)",27
Accessories,adapter,Mainstream,New,False,Current-Gen,Amazon Basics,0.95,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Amazon Basics 3-Pack Travel Plug Adapter Type E/F, Europe - France, Germany, Greece, Hungary, Iceland, the Netherlands, Norway, Poland, Portugal, Romania and Spain, White",28
"Office, Printing & Power",scanner,Mainstream,New,True,Current-Gen,HP,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HPPS100,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"HP Small USB Document & Photo Scanner for Portable 1-Sided Sheetfed Digital Scanning, Model HPPS100, for Home, Office & Business, PC and Mac Compatible, HP WorkScan Software Included",29
Accessories,protection_case,Mainstream,New,False,Current-Gen,Kensington,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Kensington MP14 Magnetic MacBook Pro Privacy Screen for 14 inch MacBook Pro (2021-2024, M1, M2, M3, M4, Pro, Max), Removable Laptop Privacy Screen, Anti Glare Blue Light MacBook Mac Screen Protector",30
Peripherals & Input,keyboard,Mainstream,New,False,Current-Gen,Logitech,0.95,,,,,,,,,,,,,,,,,,,,,,,Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"Logitech Pebble Keys 2 K380s, Multi-Device Bluetooth Wireless Keyboard with Customizable Shortcuts, Slim and Portable, Easy-Switch for Windows, macOS, iPadOS, Android, Chrome OS - Tonal Rose",31
"Cameras, Photography & Video",action_cam,Mainstream,New,False,Current-Gen,Escort,0.95,,,,,,,,,,,,,,,,,,,,,,1080p,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080p,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Escort M2 Smart Dash Cam – 1080P Full HD Video Dash Cam, Incident Reports, Parking Mode, Drive Smarter App, Wi-Fi & GPS, 16GB Micro SD Card, Compatible with MAX 360c, MAX 360",32
"Office, Printing & Power",battery,Mainstream,New,False,Legacy,Energizer,0.9,,,,,,24.0,,,,,,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Energizer Industrial EN95 size D alkaline batteries: 24 count,33
Audio & Media Systems,speaker,Mainstream,New,False,Current-Gen,Logitech,0.95,,,,,,,,,,,,,,2.1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Logitech Z533 2.1 Multimedia Speaker System with Subwoofer, Powerful Sound, Booming Bass, 3.5mm Audio and RCA Inputs, PC/PS/Xbox/TV/Smartphone/Tablet/,Black",34
Out of Scope,excluded,Mainstream,New,False,Current-Gen,BAOFENG,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,BAOFENG BF-F8HP (UV-5R 3rd Gen) 8-Watt Dual Band Two-Way Radio (136-174MHz VHF & 400-520MHz UHF) Includes Full Kit with Large Battery,35
Audio & Media Systems,earbuds,Mainstream,New,False,Current-Gen,JLab,0.9,,,,,,,,,,,,,,,,,,,on-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"JLab Flex Open Earbuds, Clip-on Cuff Design, Wireless Open-Ear Audio Freedom Effortless Fit, Safe Listening, Bluetooth Multipoint, Customize with The App, Black",36
Peripherals & Input,mouse,Mainstream,New,False,Current-Gen,Keychron,0.95,,,,,,,,,,,,,,,,,,,,,,,,26000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"Keychron M3 Wireless Mouse, PAW3395 Sensor with Programmable Macro Button 26,000 DPI Supports 2.4 GHz/Bluetooth 5.1, 79g Ultra-Light Ergonomic Design Up to 70 Hours Using for PC Mac Laptop - Black",37
Computers & Gaming,laptop,Premium,New,True,Current-Gen,ASUS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,QHD_1440p,,240.0,,,,,,,,,,,,,,,,Intel Core Ultra 9 275HX + NVIDIA GeForce RTX 5090,,,32.0,2048.0,DDR5,,,,,True,,,,G635LX-XS97,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"ASUS ROG Strix SCAR 16 (2025) Gaming Laptop, 16” ROG Nebula HDR 16:10 2.5K 240Hz/3ms, NVIDIA GeForce RTX 5090, Intel Core Ultra 9 275HX, 32GB DDR5, 2TB PCIe Gen 4 SSD, Wi-Fi 7, Win 11 Pro, G635LX-XS97",38
"Office, Printing & Power",label_printer,Mainstream,New,False,Current-Gen,Avery,0.9,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Avery Customizable Name Tags, Hello My Name is, White, Blue Border, Removable Adhesive, Laser/Inkjet Printable, 100 Total (5141)",39
"Cameras, Photography & Video",mirrorless_dslr,Mainstream,New,True,Current-Gen,Sony,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full-Frame,4K,,,,,,,,,,,,,,,,,,,,,,Alpha 7C II,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Sony Alpha 7C II Full-Frame Interchangeable Lens Camera - Silver,40
Out of Scope,excluded,Mainstream,New,False,Current-Gen,Shure,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Shure SB900B Rechargeable Lithium-Ion Battery for use with P3RA, P9RA+ and P10R+ Receivers, ULX-D, QLX-D and AD Series Transmitters and All Associated Docking, Networked and Rack Charging Accessories",41
"Office, Printing & Power",battery,Mainstream,New,True,Current-Gen,Energizer,0.95,,,,,,18.0,,,,,,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Energizer Ultimate Lithium AAA 18-Pack,42
Computers & Gaming,mini_pc,Premium,New,True,Current-Gen,ROG,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel® Core™ Ultra 9 (Series 2) ARL-HX,,,32.0,2048.0,DDR5,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"ROG NUC (2025) Gaming Mini PC with Intel® Core™ Ultra 9 (Series 2) ARL-HX CPU, NVIDIA® GeForce RTX™ 5070 Ti Mobile GPU, 32GB DDR5 RAM, 2TB NVMe SSD, Thunderbolt 4 Triple-Fan Cooling and ARGB Lighting",43
"Office, Printing & Power",battery,Mainstream,New,True,Legacy,DURACELL,0.95,,,,,,144.0,,,,,,,mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"DURACELL MN1500BKD CopperTop Alkaline Batteries, AA, 144/CT",44
PC Components (Core),psu,Mainstream,New,False,Legacy,EVGA,0.9,,,,,,,,,,,,750.0,W,,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750W,,,,,,750.0,,,,,,,,EVGA 750 N1,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"EVGA 750 N1, 750W, 2 Year Warranty, Power Supply 100-N1-0750-L1",45
"Office, Printing & Power",calculator,Mainstream,New,False,Legacy,Texas Instruments,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Texas Instruments TI-83 Plus Programmable Graphing Calculator (Packaging and Colors May Vary),46
Mobile Devices,smartwatch,Mainstream,New,True,Current-Gen,Google,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pixel Watch 2,WiFi,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Google Pixel Watch 2 (Previous Model) with the Best of Fitbit - Heart Rate Tracking, Stress Management, Safety Features - Android Smartwatch - Matte Black Aluminum Case - Obsidian Active Band - WI-FI",47
Accessories,cable,Mainstream,New,False,Current-Gen,Amazon Basics,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9144,USB-C to DisplayPort,,,,,,M-to-M,False,,,,gpt-4o-mini,Amazon Basics Aluminum USB-C to DisplayPort Cable - 3-foot,48
Mobile Devices,gps_navigator,Mainstream,New,True,Current-Gen,Garmin,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dezl OTR720,,,,,True,Automotive,,,,,,,,,,,,,,gpt-4o-mini,"Garmin dezl OTR720, Large 7' GPS Navigator, Custom Truck Routing, Satellite Imagery, Wind Speed, Community-Shared Loading Docks & Parking Availability",49
Accessories,adapter,Mainstream,New,False,Current-Gen,UGREEN,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HDMI 2.1,,,,,,,,,,,gpt-4o-mini,UGREEN HDMI 2.1 Switch 2 in 1 Out 8K@60Hz Ultra HD Supports 4K@240Hz 4K@120Hz VRR HDR10+ Dolby Atmos 48Gbps HDMI Switcher Compatible with Switch/Switch 2 PS5 Xbox Roku Firestick Apple TV,50
Displays & Mounting,monitor,Mainstream,New,False,Current-Gen,Sceptre,0.9,,,,,,,,,,,,,,,,,,,,,,1080p,,,,,,,,,,,,,,,,,30.0,FHD_1080p,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Sceptre New Curved 30-inch Gaming Monitor 200+Hz Build-in Speakers 2560 x 1080p HDMI x2 DP x2 2025,51
"Cameras, Photography & Video",excluded,Mainstream,New,False,Current-Gen,Celestron,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Celestron 71008 SkyMaster 25x70mm Porro Prism Binoculars with Multi-Coated Lens, BaK-4 Prism Glass and Carry Case, Black",52
Out of Scope,excluded,Mainstream,New,False,Current-Gen,Cobra,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Cobra VHF Marine Radio - MR HH150 FLT - 3 Watt, Floating, Long Range, Handheld, NOAA, International, Waterproof, Submersible, Weather Alerts, LCD Screen, Belt Clip",53
