category,subtype,market_tier,condition,is_premium_brand,tech_generation,brand,confidence,printer_tech,is_color,is_multifunction,paper_size_max,ppm,pack_count,is_xl,ups_capacity_value,ups_capacity_unit,is_rackmount,rack_u,power_capacity_value,power_capacity_unit,audio_channels,total_power_w,has_dolby_atmos,has_subwoofer,has_anc,form_factor,mic_type,audio_resolution,video_output_res,switch_type,dpi,has_screen,is_thunderbolt,max_resolution,read_speed_mbs,scan_engine,wifi_standard,speed_class,node_count,frequency_bands,has_poe,multi_gig_ports,power_source,smart_protocol,is_outdoor,screen_size_in,resolution_standard,panel_tech,refresh_rate_hz,is_smart,mount_type,adjustment_type,num_screens,max_weight_kg,is_heavy_duty,sensor_format,max_video_res,is_body_only,mount_system,megapixels,is_pro_line,focal_range,max_aperture_f,is_kit,component_series,vram_gb,has_x3d,ram_gb,storage_gb,tech_gen,power_wattage,efficiency_rating,chipset,is_aio,is_gaming,platform_family,is_digital_edition,nas_bays,model_name,cellular_type,has_stylus,case_size_mm,is_rugged,is_specialized,gps_activity,has_touchscreen,cable_length_m,interface_type,is_braided,material,brand_compatibility,is_active,is_original,connector_gender,is_wireless,port_count,storage_type,pd_wattage,model_used,original_title,original_row_id,error_log
"Cameras, Photography & Video",mirrorless_dslr,Premium,New,True,Current-Gen,Canon,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full-Frame,8K,True,Canon_RF,45.0,True,,,False,,,,,,,,,,,,,,,EOS R5 Mark II,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Canon EOS R5 Mark II Body,14.0,
Accessories,protection_case,Mainstream,New,False,Current-Gen,ESR,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"ESR for AirPods 4 Case, Compatible with AirPods 4th Generation Case (2024), Compatible with MagSafe, Powerful Drop Protection, Magnetic Lid, Cyber Series, Black",15.0,
"Office, Printing & Power",printer,Mainstream,New,False,Current-Gen,Brother,1.0,Inkjet,True,True,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Brother MFC-J6555DW INKvestment Tank Color Inkjet All-in-One Printer with up to 1 Year of Ink in-box1 and 11” x 17” Print, Copy, scan, and fax Capabilities,White",16.0,
Audio & Media Systems,speaker,Mainstream,New,True,Current-Gen,Sonos,0.95,,,,,,,,,,,,,,2.1,,True,,,,,,,,,,,,,,,,,,,,,WiFi,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"Sonos Era 300 - Black - Wireless, Alexa Enabled Smart Speaker with Dolby Atmos.",17.0,
Audio & Media Systems,headphones,Mainstream,New,False,Current-Gen,Poly,0.95,,,,,,,,,,,,,,,,,,,on-ear,dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"Poly - Voyager 4310 UC Wireless Headset + Charge Stand (Plantronics) - Single-Ear Headset w/Mic - Connect to PC/Mac via USB-A Bluetooth Adapter, Cell Phone via Bluetooth -Works with Teams, Zoom &More",18.0,
Networking & Smart Home,wifi_adapter,Mainstream,New,False,Current-Gen,WAVLINK,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_6_AX,AX3000,,Dual-Band,True,,Wired,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"2025 AX3000 Outdoor WiFi 6 Extender, WAVLINK Long-Range WiFi Repeater/Access Point with Dual Band/PoE/IP67 Waterproof/6 x 7dBi Antennas, Supports Up to 256 Devices for Garage, Yard, RV,Farm",19.0,
"Office, Printing & Power",toner_ink,Mainstream,New,True,Current-Gen,Epson,0.9,,,,A4,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Epson Premium Presentation Paper MATTE (8.5x11 Inches, Double-sided, 50 Sheets) (S041568),Bright White",20.0,
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,Acer,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_5_AC,,,,,,,,,11.6,FHD_1080p,,,,,,,,,,,,,,,,,,Intel Celeron N4500,,,4.0,64.0,,,,,,,,,,Gateway Chromebook 311 CBO311-1H-C1MX,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Acer Gateway Chromebook 311 CBO311-1H-C1MX Laptop | Intel Celeron N4500 | 11.6"" HD (1366 x 768) Display | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome OS | Star Black",21.0,
Audio & Media Systems,headphones,Mainstream,New,False,Current-Gen,HyperX,0.95,,True,,,,,,,,,,,,,,,,,over-ear,condenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,False,,,,gpt-4o-mini,"HyperX Cloud III – Wired Gaming Headset, PC, PS5, Xbox Series X|S, Angled 53mm Drivers, DTS, Memory Foam, Durable Frame, Ultra-Clear 10mm Mic, USB-C, USB-A, 3.5mm – Pink",22.0,
PC Components (Core),gpu,Premium,New,True,Current-Gen,NVIDIA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTX 5080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,NVIDIA GeForce RTX 5080 Founders Edition,23.0,
"Cameras, Photography & Video",action_cam,Mainstream,New,False,Current-Gen,Insta360,0.95,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,2.29,,,,,,,,,,,4K,,,72.0,,,,,,,,,,,,,,,,,,,X3,,,,,,,True,,,,,,,,,,,,,gpt-4o-mini,"Insta360 X3 - Waterproof 360 Action Camera with 1/2"" 48MP Sensors, 5.7K 360 Active HDR Video, 72MP 360 Photo, 4K Single-Lens, 60fps Me Mode, Stabilization, 2.29"" Touchscreen, AI Editing, Live Stream",24.0,
Networking & Smart Home,access_point,Mainstream,New,True,Current-Gen,Ubiquiti Networks,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_5_AC,,,Dual-Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAP-AC-PRO-US,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Ubiquiti Networks Unifi 802.11ac Dual-Radio PRO Access Point (UAP-AC-PRO-US), Single,White",25.0,
Displays & Mounting,mount_wall,Mainstream,New,False,Current-Gen,Sanus,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,Tilt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Sanus Universal Low Profile Tilt TV Wall Mount for 37"" - 80"" LED, LCD & Plasma TVs, Eliminates Glare with 10º of Tilt & Post-Install Adjustments - 3 Step Install - Safety Certified - MLT14-B1",26.0,
"Cameras, Photography & Video",gimbal_tripod,Mainstream,New,True,Current-Gen,DJI,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"DJI RS 4, 3-Axis Gimbal Stabilizer for DSLR and Mirrorless Cameras Canon/Sony/Panasonic/Nikon/Fujifilm, 2nd-Gen Native Vertical Shooting, 2-Mode Switch Joystick, Teflon Axis Arms, Camera Gimbal",27.0,
Audio & Media Systems,speaker,Mainstream,New,True,Current-Gen,Google,0.95,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"Google Audio (2-Pack) Smart Speakers – Wireless Bluetooth & Wi‑Fi Home Speaker Bundle with Powerful Stereo Sound, Multi-Room Audio Assistant Voice Control",28.0,
PC Components (Core),cpu,Premium,New,True,Current-Gen,AMD,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 9 7950X,,,,,Gen5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"AMD Ryzen 9 7950X 16-Core, 32-Thread Unlocked Desktop Processor",29.0,
Audio & Media Systems,soundbar,Mainstream,New,True,Current-Gen,Klipsch,0.95,,,,,,,,,,,,,,3.1.2,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Klipsch Flexus CORE 200 3.1.2 Channel Powered by Onkyo Bluetooth Sound Bar with Dolby Atmos and Custom Tuned Bass - Black,30.0,
Peripherals & Input,dock_hub,Mainstream,New,False,Current-Gen,Baseus,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Baseus Docking Station Dual Monitor, Nomos Win Air(12 in 1) Laptop Dock, 2*4K HDMI, 10Gbps USB Ports, 1Gbps Ethernet, PD 100W(No Power Adapter), USB C Docking Station for Dell/HP/Lenovo/Asus/Acer/Mac",31.0,
Audio & Media Systems,microphone,Mainstream,New,True,Current-Gen,RØDE,0.95,,,,,,,,,,,,,,,,,,,,condenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"RØDE NT1 5th Generation Large-diaphragm Studio Condenser Microphone with XLR and USB Outputs, Shock Mount and Pop Filter for Music Production, Vocal Recording and Podcasting (Black)",32.0,
Peripherals & Input,external_drive,Mainstream,New,True,Current-Gen,SanDisk,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flash,,gpt-4o-mini,SanDisk 32GB Extreme CompactFlash Memory Card UDMA 7 Speed Up To 120MB/s - SDCFXSB-032G-G46,33.0,
PC Components (Core),gpu,Mainstream,New,True,Current-Gen,GIGABYTE,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTX 3050,6.0,,,,Gen4,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"GIGABYTE GeForce RTX 3050 WINDFORCE OC V2 6G Graphics Card, 2X WINDFORCE Fans, 6GB GDDR6 96-bit GDDR6, GV-N3050WF2OCV2-6GD Graphics Card",34.0,
Networking & Smart Home,router,Mainstream,Renewed/Refurbished,False,Current-Gen,ARRIS,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_5_AC,AX1800,,Dual-Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"ARRIS (SB8200-RB) - Cable Modem - Fast DOCSIS 3.1 32x8 Gigabit Cable Modem , Approved for Comcast Xfinity, Cox, Charter Spectrum, & more | 1 Gbps Max Internet Speed, 4 OFDM Channels - Renewed",35.0,
Audio & Media Systems,headphones,Mainstream,New,False,Current-Gen,JLab,0.95,,,,,,,,,,,,,,,,,,,on-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,gpt-4o-mini,"JLab JBuddies Studio On-Ear Kids Wired Headphones, Toddler Headphones, Kid Safe, Studio Volume Safe, Volume Limiter, Folding, Adjustable, Noise Isolation, with Mic (Graphite/Blue)",36.0,
PC Components (Core),ram,Mainstream,New,False,Current-Gen,Crucial,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDR4,,,32.0,,DDR4,,,,,,,,,CT2K16G4SFRA32A,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Crucial 32GB DDR4 RAM Kit (2x16GB), 3200MHz (PC4-25600) CL22 Laptop Memory, SODIMM 260-Pin, Downclockable to 2933/2666MHz, Compatible with 13th Gen Intel Core and AMD Ryzen 7000 - CT2K16G4SFRA32A",37.0,
Out of Scope,excluded,Mainstream,New,False,Current-Gen,Fujifilm,0.9,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Fujifilm Instax Mini Instant Film (6 Twin Packs, 120 Total Pictures) for Instax Cameras",38.0,
"Office, Printing & Power",battery,Mainstream,New,False,Legacy,ACDelco,0.9,,,,,,48.0,,,,,,24.0,mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"ACDelco AA and AAA 48-Count Combo Pack Super Alkaline Batteries, 24-Count Each, 10-Year Shelf Life, Recloseable Packaging",39.0,
Accessories,mount_small,Mainstream,New,False,Current-Gen,UGREEN,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,desk_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,UGREEN Phone Holder for Tesla Model 3 and Y Accessories Magsafe Car Mount Magnetic Phone Mount Strongest Magnet Power Compatible with iPhone 16 15 14 13 Plus Pro Max Series,40.0,
Displays & Mounting,monitor,Mainstream,New,True,Current-Gen,SAMSUNG,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,QHD_1440p,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS34C50DGANXZA,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"SAMSUNG 34"" ViewFinity S50GC Series Ultrawide QHD Monitor, 100Hz, 5ms, HDR10, AMD FreeSync, Ultrawide Screen, Eye Care, Thin Bezels, PIP, PBP, LS34C50DGANXZA, 2023, Black",41.0,
Peripherals & Input,external_drive,Mainstream,New,False,Current-Gen,SanDisk,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flash,,gpt-4o-mini,"SanDisk 128GB Ultra SDXC UHS-I Memory Card - 120MB/s, C10, U1, Full HD, SD Card - SDSDUN4-128G-GN6IN [Older Version]",42.0,
Displays & Mounting,monitor,Premium,New,True,Current-Gen,Apple,0.95,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,Tilt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Apple Studio Display - Standard Glass - Tilt-Adjustable Stand ​​​​​​​,43.0,
Networking & Smart Home,smart_tag,Mainstream,New,False,Current-Gen,SanDisk,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flash,,gpt-4o-mini,"SanDisk 128GB MAX Endurance microSDXC Card with Adapter for Home Security Cameras and Dash cams - C10, U3, V30, 4K UHD, Micro SD Card - SDSQQVR-128G-GN6IA",44.0,
Displays & Mounting,monitor,Mainstream,New,False,Current-Gen,Acer,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,QHD_1440p,,180.0,,wall,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,EDA270U Pbmiipx,,,,,,,,,Display Port 1.2 & HDMI 2.0,,,,,,,,,,,gpt-4o-mini,"Acer Nitro 27"" WQHD 2560 x 1440 1500R Curved PC Gaming Monitor | AMD FreeSync Premium | 180Hz Refresh | 1ms VRB | VESA Mountable | HDR10 | 1 x Display Port 1.2 & 2 x HDMI 2.0 | EDA270U Pbmiipx",45.0,
Peripherals & Input,dock_hub,Mainstream,New,False,Current-Gen,UGREEN,0.95,,,,,,,,,,,,,,,100.0,,,,,,,4K_UHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB-C,,,"MacBook Pro/Air, iPad Pro, XPS, Thinkpad",,,,,,,100.0,gpt-4o-mini,"UGREEN Revodok 1071 USB C Hub for Laptop 7 in 1 Dock 4K HDMI, 100W PD Charging, USB-C & 2 USB-A 5Gbps Data Ports, SD/TF Card Reader for MacBook Pro/Air, iPad Pro, XPS, Thinkpad",46.0,
Audio & Media Systems,headphones,Premium,New,True,Current-Gen,Apple,0.95,,,,,,,,,,,,,,,,True,,True,over-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"Apple AirPods Max Wireless Over-Ear Headphones, Active Noise Cancelling, Transparency Mode, Personalized Spatial Audio, Dolby Atmos, Bluetooth Headphones for iPhone – Space Gray",47.0,
Audio & Media Systems,speaker,Mainstream,New,False,Current-Gen,JBL,0.95,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,JBL Clip 4 - Speaker - for portable use - wireless - Bluetooth - 5 Watt - black,48.0,
"Office, Printing & Power",scanner,Mainstream,New,False,Current-Gen,Epson,0.95,,True,False,A4,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Epson DS-530 II Color Duplex Document Scanner for PC and Mac with Sheet-fed, Auto Document Feeder (ADF)",49.0,
Audio & Media Systems,earbuds,Premium,New,True,Current-Gen,Technics,0.95,,,,,,,,,,,,,,,,,,True,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAH-AZ80-K,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"Technics Premium Hi-Fi True Wireless Bluetooth Earbuds with Advanced Noise Cancelling, 3 Device Multipoint Connectivity, Wireless Charging, Hi-Res Audio + Enhanced Calling - EAH-AZ80-K (Black)",50.0,
PC Components (Core),motherboard,Mainstream,New,False,Current-Gen,MSI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGA 1700,,,,,DDR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"MSI PRO B760-P WiFi DDR4 ProSeries Motherboard (Supports 12th/13th/14th Gen Intel Processors, LGA 1700, DDR4, PCIe 4.0, M.2, 2.5Gbps LAN, USB 3.2 Gen2, HDMI/DP, Wi-Fi 6E, Bluetooth 5.3, ATX)",51.0,
Audio & Media Systems,speaker,Mainstream,New,True,Current-Gen,Bose,0.95,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,Battery,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"Bose SoundLink Plus Portable Bluetooth Speaker, Wireless Outdoor Speaker, Up to 20 Hours Battery Life, Waterproof and Dustproof, Black",52.0,
