category,subtype,market_tier,condition,is_premium_brand,tech_generation,brand,confidence,printer_tech,is_color,is_multifunction,paper_size_max,ppm,pack_count,is_xl,ups_capacity_value,ups_capacity_unit,is_rackmount,rack_u,power_capacity_value,power_capacity_unit,audio_channels,total_power_w,has_dolby_atmos,has_subwoofer,has_anc,form_factor,mic_type,audio_resolution,video_output_res,switch_type,dpi,has_screen,is_thunderbolt,max_resolution,read_speed_mbs,scan_engine,wifi_standard,speed_class,node_count,frequency_bands,has_poe,multi_gig_ports,power_source,smart_protocol,is_outdoor,screen_size_in,resolution_standard,panel_tech,refresh_rate_hz,is_smart,mount_type,adjustment_type,num_screens,max_weight_kg,is_heavy_duty,sensor_format,max_video_res,is_body_only,mount_system,megapixels,is_pro_line,focal_range,max_aperture_f,is_kit,component_series,vram_gb,has_x3d,ram_gb,storage_gb,tech_gen,power_wattage,efficiency_rating,chipset,is_aio,is_gaming,platform_family,is_digital_edition,nas_bays,model_name,cellular_type,has_stylus,case_size_mm,is_rugged,is_specialized,gps_activity,has_touchscreen,cable_length_m,interface_type,is_braided,material,brand_compatibility,is_active,is_original,connector_gender,is_wireless,port_count,storage_type,pd_wattage,original_title,case_keyboard,product_rating,is_best_seller,is_sponsored,buy_box_availability,sustainability_tags,has_coupon,discount_percentage,log_original_price,log_purchased_last_month,log_total_reviews,brand_subtype,image_url,product_url
Networking & Smart Home,router,Mainstream,New,True,Cutting-Edge,ASUS,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_7_BE,AX9700,,Tri-Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ASUS RT-BE92U BE9700 Tri-Band WiFi 7 Router, Supports New 320MHz Bandwidth & 4096-QAM, MLO, AI WAN Detection, AiMesh Support, Subscription-Free Network Security & Comprehensive VPN Features",False,4.2,No Badge,Organic,1,0,0,0.12,5.525413097700675,6.2166061010848646,9.216719978940224,ASUS_router,https://m.media-amazon.com/images/I/61kyJOmwTWL._AC_UL320_.jpg,/ASUS-RT-BE92U-Bandwidth-Subscription-Free-Comprehensive/dp/B0DHWCQ3FP/ref=sr_1_1829?dib=eyJ2IjoiMSJ9.O-aHBSMRLJgZByiVQdXMJqPgVDWV20jWKc0gK7jhAdbUHCpkPpcIPwgnw776v3ouCnqFn5bNcB2EVPJjwEdlPl9BgOw15b4IoJTXt04BVQbvWivqnkAWI7XaAGYnmMEe7dEq6uoTgF4RDytHRypsNkv6LWpj5qnjZ4Wmv79BWww64mBDKlJnvv1Qprzht-v9HPLC864haDy8HdtzW69fHv9XfJIb1ixSGFdqFgnwIqtg0qVtaz2B80A-DiVXnB2f9yVcC3-AL97dzV-D32HTpnRJGh2I26bIV547UXO8wWQ.ky_7gNvB6V63AsVUMRhVAPoWBZVjRpmgziiPTKBHf2U&dib_tag=se&qid=1755801019&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1829
Audio & Media Systems,headphones,Mainstream,New,False,Current-Gen,Skullcandy,0.95,,,,,,,,,,,,,,,,,,,on-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5mm,,,,,,M-to-M,False,,,,"Skullcandy Riff On-Ear Wired Headphones, Convenient for Travel with 3.5mm Plug, Built-In Microphone, Foldable Lightweight Comfortable Design, Durable Headband - Black",False,4.4,No Badge,Organic,1,0,0,0.4,3.433664571799657,7.601402334583733,9.21522840604896,Skullcandy_headphones,https://m.media-amazon.com/images/I/71MWCCkt6VL._AC_UL320_.jpg,/Skullcandy-Headphones-Microphone-Android-Laptops/dp/B07HB9Q3CY/ref=sr_1_1815?dib=eyJ2IjoiMSJ9.O-aHBSMRLJgZByiVQdXMJqPgVDWV20jWKc0gK7jhAdbUHCpkPpcIPwgnw776v3ouCnqFn5bNcB2EVPJjwEdlPl9BgOw15b4IoJTXt04BVQbvWivqnkAWI7XaAGYnmMEe7dEq6uoTgF4RDytHRypsNkv6LWpj5qnjZ4Wmv79BWww64mBDKlJnvv1Qprzht-v9HPLC864haDy8HdtzW69fHv9XfJIb1ixSGFdqFgnwIqtg0qVtaz2B80A-DiVXnB2f9yVcC3-AL97dzV-D32HTpnRJGh2I26bIV547UXO8wWQ.ky_7gNvB6V63AsVUMRhVAPoWBZVjRpmgziiPTKBHf2U&dib_tag=se&qid=1755801019&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1815
Peripherals & Input,external_drive,Mainstream,New,True,Current-Gen,SAMSUNG,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,,,,,,,,,,,,,,,,,,,USB 3.1,,Metal,,,,,,,Flash,,"SAMSUNG BAR Plus 3.1 USB Flash Drive, 128GB, 400MB/s, Rugged Metal Casing, Storage Expansion for Photos, Videos, Music, Files, MUF-128BE3/AM, Champagne Silver",False,4.7,Amazon's,Organic,1,0,0,0.25,3.0440461338325417,7.601402334583733,10.790905446841167,SAMSUNG_external_drive,https://m.media-amazon.com/images/I/81JJHlQjIiL._AC_UL320_.jpg,/Samsung-BAR-Plus-128GB-MUF-128BE3/dp/B07BPK3XWW/ref=sr_1_1804?dib=eyJ2IjoiMSJ9.O-aHBSMRLJgZByiVQdXMJqPgVDWV20jWKc0gK7jhAdbUHCpkPpcIPwgnw776v3ouCnqFn5bNcB2EVPJjwEdlPl9BgOw15b4IoJTXt04BVQbvWivqnkAWI7XaAGYnmMEe7dEq6uoTgF4RDytHRypsNkv6LWpj5qnjZ4Wmv79BWww64mBDKlJnvv1Qprzht-v9HPLC864haDy8HdtzW69fHv9XfJIb1ixSGFdqFgnwIqtg0qVtaz2B80A-DiVXnB2f9yVcC3-AL97dzV-D32HTpnRJGh2I26bIV547UXO8wWQ.ky_7gNvB6V63AsVUMRhVAPoWBZVjRpmgziiPTKBHf2U&dib_tag=se&qid=1755801019&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1804
PC Components (Core),case,Mainstream,New,True,Current-Gen,CORSAIR,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORSAIR 3500X ARGB Mid-Tower ATX PC Case – Panoramic Tempered Glass – Reverse Connection Motherboard Compatible – 3X CORSAIR RS120 ARGB Fans Included – White,False,4.6,No Badge,Organic,1,0,0,0.13,4.795707897553386,6.90875477931522,7.436027816351848,CORSAIR_case,https://m.media-amazon.com/images/I/71MMoud1NzL._AC_UL320_.jpg,/CORSAIR-3500X-ARGB-Mid-Tower-Case/dp/B0CZV1KPXL/ref=sr_1_1805?dib=eyJ2IjoiMSJ9.O-aHBSMRLJgZByiVQdXMJqPgVDWV20jWKc0gK7jhAdbUHCpkPpcIPwgnw776v3ouCnqFn5bNcB2EVPJjwEdlPl9BgOw15b4IoJTXt04BVQbvWivqnkAWI7XaAGYnmMEe7dEq6uoTgF4RDytHRypsNkv6LWpj5qnjZ4Wmv79BWww64mBDKlJnvv1Qprzht-v9HPLC864haDy8HdtzW69fHv9XfJIb1ixSGFdqFgnwIqtg0qVtaz2B80A-DiVXnB2f9yVcC3-AL97dzV-D32HTpnRJGh2I26bIV547UXO8wWQ.ky_7gNvB6V63AsVUMRhVAPoWBZVjRpmgziiPTKBHf2U&dib_tag=se&qid=1755801019&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1805
Computers & Gaming,laptop,Mainstream,New,True,Current-Gen,Lenovo,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,Intel Ultra 7 155U,,,32.0,512.0,,,,,,,,,,ThinkPad X1 Carbon,,,,,,,,,,,,,,,,,,,,"Lenovo Gen 12 ThinkPad X1 Carbon Laptop with Intel Ultra 7 155U Processor, 14"" WUXGA 100% sRGB Non-Touch Display, 32GB 6400MHz RAM, 512GB Gen4 Performance SSD, FHD+ IR+ RGB Camera, and Windows 11 Pro",False,4.7,No Badge,Organic,0,0,0,0.0,7.264730177929867,5.303304908059076,2.772588722239781,Lenovo_laptop,https://m.media-amazon.com/images/I/61GSvJjxBuL._AC_UL320_.jpg,/Lenovo-ThinkPad-Processor-Non-Touch-Performance/dp/B0CZZ7KL1J/ref=sr_1_1806?dib=eyJ2IjoiMSJ9.O-aHBSMRLJgZByiVQdXMJqPgVDWV20jWKc0gK7jhAdbUHCpkPpcIPwgnw776v3ouCnqFn5bNcB2EVPJjwEdlPl9BgOw15b4IoJTXt04BVQbvWivqnkAWI7XaAGYnmMEe7dEq6uoTgF4RDytHRypsNkv6LWpj5qnjZ4Wmv79BWww64mBDKlJnvv1Qprzht-v9HPLC864haDy8HdtzW69fHv9XfJIb1ixSGFdqFgnwIqtg0qVtaz2B80A-DiVXnB2f9yVcC3-AL97dzV-D32HTpnRJGh2I26bIV547UXO8wWQ.ky_7gNvB6V63AsVUMRhVAPoWBZVjRpmgziiPTKBHf2U&dib_tag=se&qid=1755801019&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1806
Accessories,cable,Mainstream,New,False,Current-Gen,acer,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,USB-C to DisplayPort,,Metal,"MacBook Pro/Air, iPhone 16 Pro/Max, XPS, Surface",,,M-to-M,,,,,"acer USB C to DisplayPort Cable 6.6 FT (4K@60HZ 2K@165Hz), Type-C to DisplayPort Cord (Sturdy Aluminum, Plug & Play) Thunderbolt 3/4/5 Compatible with MacBook Pro/Air, iPhone 16 Pro/Max, XPS, Surface",False,4.6,No Badge,Organic,0,0,0,0.24,2.8898160479624417,8.006700845440367,5.855071922202427,acer_cable,https://m.media-amazon.com/images/I/71zbbb0Gu5L._AC_UL320_.jpg,/acer-DisplayPort-Aluminum-Thunderbolt-Compatible/dp/B0DQP5WS85/ref=sr_1_1807?dib=eyJ2IjoiMSJ9.O-aHBSMRLJgZByiVQdXMJqPgVDWV20jWKc0gK7jhAdbUHCpkPpcIPwgnw776v3ouCnqFn5bNcB2EVPJjwEdlPl9BgOw15b4IoJTXt04BVQbvWivqnkAWI7XaAGYnmMEe7dEq6uoTgF4RDytHRypsNkv6LWpj5qnjZ4Wmv79BWww64mBDKlJnvv1Qprzht-v9HPLC864haDy8HdtzW69fHv9XfJIb1ixSGFdqFgnwIqtg0qVtaz2B80A-DiVXnB2f9yVcC3-AL97dzV-D32HTpnRJGh2I26bIV547UXO8wWQ.ky_7gNvB6V63AsVUMRhVAPoWBZVjRpmgziiPTKBHf2U&dib_tag=se&qid=1755801019&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1807
"Cameras, Photography & Video",tripod,Mainstream,New,False,Current-Gen,Ubeesize,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,floor_stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ubeesize Phone Tripod, Portable and Flexible Tripods with Wireless Remote and Clip, Cell Phone Tripode Stand for Video Recording",False,4.5,No Badge,Organic,1,0,0,0.13,2.8326249356838407,8.006700845440367,10.696095378697706,Ubeesize_tripod,https://m.media-amazon.com/images/I/51gOO-4WBiL._AC_UL320_.jpg,/UBeesize-Portable-Universal-Compatible-Recording/dp/B088GNC6TT/ref=sr_1_1809?dib=eyJ2IjoiMSJ9.O-aHBSMRLJgZByiVQdXMJqPgVDWV20jWKc0gK7jhAdbUHCpkPpcIPwgnw776v3ouCnqFn5bNcB2EVPJjwEdlPl9BgOw15b4IoJTXt04BVQbvWivqnkAWI7XaAGYnmMEe7dEq6uoTgF4RDytHRypsNkv6LWpj5qnjZ4Wmv79BWww64mBDKlJnvv1Qprzht-v9HPLC864haDy8HdtzW69fHv9XfJIb1ixSGFdqFgnwIqtg0qVtaz2B80A-DiVXnB2f9yVcC3-AL97dzV-D32HTpnRJGh2I26bIV547UXO8wWQ.ky_7gNvB6V63AsVUMRhVAPoWBZVjRpmgziiPTKBHf2U&dib_tag=se&qid=1755801019&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1809
"Office, Printing & Power",ups,Mainstream,New,False,Current-Gen,APC,1.0,,,,,,,,850.0,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"APC UPS Battery Backup and Surge Protector, 850VA Backup Battery Power Supply, BE850G2 Back-UPS with (2) USB Charger Ports",False,4.5,No Badge,Organic,0,0,0,0.0,4.937275759741795,6.2166061010848646,8.263590432617319,APC_ups,https://m.media-amazon.com/images/I/71qEDrNHwSL._AC_UL320_.jpg,/APC-Protector-BE850G2-Back-UPS-Uninterruptible/dp/B085JJZDFK/ref=sr_1_1810?dib=eyJ2IjoiMSJ9.O-aHBSMRLJgZByiVQdXMJqPgVDWV20jWKc0gK7jhAdbUHCpkPpcIPwgnw776v3ouCnqFn5bNcB2EVPJjwEdlPl9BgOw15b4IoJTXt04BVQbvWivqnkAWI7XaAGYnmMEe7dEq6uoTgF4RDytHRypsNkv6LWpj5qnjZ4Wmv79BWww64mBDKlJnvv1Qprzht-v9HPLC864haDy8HdtzW69fHv9XfJIb1ixSGFdqFgnwIqtg0qVtaz2B80A-DiVXnB2f9yVcC3-AL97dzV-D32HTpnRJGh2I26bIV547UXO8wWQ.ky_7gNvB6V63AsVUMRhVAPoWBZVjRpmgziiPTKBHf2U&dib_tag=se&qid=1755801019&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1810
Displays & Mounting,monitor,Mainstream,New,False,Current-Gen,BenQ,0.95,,,,,,,,,,,,,,,,,,,,,,1080p,,,True,,,,,,,,,,,,,,24.0,FHD_1080p,,100.0,,wall,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HDMI,,,,,,,,,,,"BenQ GW2490 24"" Computer Monitor 100Hz FHD 1920x1080p IPS Eye-Care Tech VESA Mount Thin Bezel Low Blue Light Adaptive Brightness Wall Mount Built-in Speakers DisplayPort HDMI Port2",False,4.6,No Badge,Organic,0,0,0,0.0,4.698751599609622,6.2166061010848646,9.893235176071776,BenQ_monitor,https://m.media-amazon.com/images/I/71tpIxRlEeL._AC_UL320_.jpg,/BenQ-GW2490-1920x1080p-Anti-Glare-DisplayPort/dp/B0CP9THGP2/ref=sr_1_1811?dib=eyJ2IjoiMSJ9.O-aHBSMRLJgZByiVQdXMJqPgVDWV20jWKc0gK7jhAdbUHCpkPpcIPwgnw776v3ouCnqFn5bNcB2EVPJjwEdlPl9BgOw15b4IoJTXt04BVQbvWivqnkAWI7XaAGYnmMEe7dEq6uoTgF4RDytHRypsNkv6LWpj5qnjZ4Wmv79BWww64mBDKlJnvv1Qprzht-v9HPLC864haDy8HdtzW69fHv9XfJIb1ixSGFdqFgnwIqtg0qVtaz2B80A-DiVXnB2f9yVcC3-AL97dzV-D32HTpnRJGh2I26bIV547UXO8wWQ.ky_7gNvB6V63AsVUMRhVAPoWBZVjRpmgziiPTKBHf2U&dib_tag=se&qid=1755801019&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1811
Accessories,adapter,Mainstream,New,True,Current-Gen,Apple,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB-C to Lightning,,,Apple,,,M-to-F,,,,,Apple USB-C to Lightning Adapter,False,4.4,No Badge,Organic,0,0,0,0.0,3.232384174892993,7.601402334583733,7.284820912568604,Apple_adapter,https://m.media-amazon.com/images/I/41B2iXNwJvL._AC_UL320_.jpg,/Apple-USB-C-to-Lightning-Adapter/dp/B0CHX5RZ8M/ref=sr_1_1813?dib=eyJ2IjoiMSJ9.O-aHBSMRLJgZByiVQdXMJqPgVDWV20jWKc0gK7jhAdbUHCpkPpcIPwgnw776v3ouCnqFn5bNcB2EVPJjwEdlPl9BgOw15b4IoJTXt04BVQbvWivqnkAWI7XaAGYnmMEe7dEq6uoTgF4RDytHRypsNkv6LWpj5qnjZ4Wmv79BWww64mBDKlJnvv1Qprzht-v9HPLC864haDy8HdtzW69fHv9XfJIb1ixSGFdqFgnwIqtg0qVtaz2B80A-DiVXnB2f9yVcC3-AL97dzV-D32HTpnRJGh2I26bIV547UXO8wWQ.ky_7gNvB6V63AsVUMRhVAPoWBZVjRpmgziiPTKBHf2U&dib_tag=se&qid=1755801019&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1813
PC Components (Core),gpu,Mainstream,New,True,Current-Gen,ASUS,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radeon RX 9070 XT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ASUS Prime Radeon™ RX 9070 XT OC Edition Graphics Card (PCIe 5.0, HDMI/DP 2.1, 2.5-Slot Design, axial-tech Fans, Dual Ball Fan Bearings, Dual BIOS, GPU Guard)",False,4.6,No Badge,Organic,0,0,0,0.0,6.794575382605512,6.2166061010848646,5.111987788356544,ASUS_gpu,https://m.media-amazon.com/images/I/81huTBuLV+L._AC_UL320_.jpg,/ASUS-RadeonTM-Graphics-2-5-Slot-axial-tech/dp/B0DRRMZDH6/ref=sr_1_1808?dib=eyJ2IjoiMSJ9.O-aHBSMRLJgZByiVQdXMJqPgVDWV20jWKc0gK7jhAdbUHCpkPpcIPwgnw776v3ouCnqFn5bNcB2EVPJjwEdlPl9BgOw15b4IoJTXt04BVQbvWivqnkAWI7XaAGYnmMEe7dEq6uoTgF4RDytHRypsNkv6LWpj5qnjZ4Wmv79BWww64mBDKlJnvv1Qprzht-v9HPLC864haDy8HdtzW69fHv9XfJIb1ixSGFdqFgnwIqtg0qVtaz2B80A-DiVXnB2f9yVcC3-AL97dzV-D32HTpnRJGh2I26bIV547UXO8wWQ.ky_7gNvB6V63AsVUMRhVAPoWBZVjRpmgziiPTKBHf2U&dib_tag=se&qid=1755801019&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1808
PC Components (Core),cpu_cooler,Mainstream,New,False,Current-Gen,NZXT,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,"NZXT Kraken 240 - RL-KN-240-B1 - 240mm AIO CPU Liquid Cooler - Customizable 1.54"" Square LCD Display for Images, Performance Metrics and More - High-Performance Pump - 2 x F120P Fans - Black",False,4.4,No Badge,Organic,1,0,0,0.29,4.9486889658772695,6.90875477931522,8.157943507105037,NZXT_cpu_cooler,https://m.media-amazon.com/images/I/41yL3DM3dGL._AC_UL320_.jpg,/NZXT-Kraken-240-%E2%80%8ERL-KN240-B1-High-Performance/dp/B0BY3HNXMS/ref=sr_1_1839?dib=eyJ2IjoiMSJ9.KVI7rPBCbsuvkt4QCF7IKj1DrtAt5zBzXZJlMUanjxQGymn5A-vQVWd3tYpjiBihTzIbPmrf7pFWGOnC-1r1_6oAg1d5QO8GHOMq89Xzd5Hgh-GtIRVM5pu-vkzptVYN80vVJVY3sz1sltt47VgIXFxppVxtSgJZZWYkuK3Xl1DyNqcxvSIuThGl3pjPGubn1MbNO-_srkVDxGeWWrC4Fjty9HPcy2c79lgHHGIqayCcozHyxg0AyKs0N5HKXXy0TbU-ckroEOWPX2klTvZ--o5WSpM58Z5BBt-aDzeYjyo.f35zOGAiWB-g_fCAEN-DlnIo8NvDrbVOvgjQKpKeAuo&dib_tag=se&qid=1755801031&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1839
Peripherals & Input,dock_hub,Mainstream,New,True,Current-Gen,Dell,0.95,,,,,,,,,,,,100.0,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB Type-C,,,,,,M-to-F,,,,100.0,"Dell Pro Dock WD25 - USB Type-C with DP Alt Mode Connector, DisplayPort/HDMI/USB 3.2 Gen2 Connectivity, Up to 100-Watt Power delivery - Black",False,5.0,No Badge,Organic,0,0,0,0.0,5.111927545578128,5.993961427306569,0.6931471805599453,Dell_dock_hub,https://m.media-amazon.com/images/I/617iBjyibhL._AC_UL320_.jpg,/Dell-Pro-Dock-WD25-DisplayPort-Connectivity/dp/B0FCSHJGGK/ref=sr_1_1840?dib=eyJ2IjoiMSJ9.KVI7rPBCbsuvkt4QCF7IKj1DrtAt5zBzXZJlMUanjxQGymn5A-vQVWd3tYpjiBihTzIbPmrf7pFWGOnC-1r1_6oAg1d5QO8GHOMq89Xzd5Hgh-GtIRVM5pu-vkzptVYN80vVJVY3sz1sltt47VgIXFxppVxtSgJZZWYkuK3Xl1DyNqcxvSIuThGl3pjPGubn1MbNO-_srkVDxGeWWrC4Fjty9HPcy2c79lgHHGIqayCcozHyxg0AyKs0N5HKXXy0TbU-ckroEOWPX2klTvZ--o5WSpM58Z5BBt-aDzeYjyo.f35zOGAiWB-g_fCAEN-DlnIo8NvDrbVOvgjQKpKeAuo&dib_tag=se&qid=1755801031&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1840
Audio & Media Systems,speaker,Mainstream,New,False,Current-Gen,JBL,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JBL Clip 4 - Portable Mini Bluetooth Speaker, big audio and punchy bass, integrated carabiner, IP67 waterproof and dustproof, 10 hours of playtime, speaker for home, outdoor and travel (Black)",False,4.8,No Badge,Organic,0,0,0,0.0,3.783507583192719,6.90875477931522,10.422430144404066,JBL_speaker,https://m.media-amazon.com/images/I/712bkrVtjHL._AC_UL320_.jpg,/JBL-Clip-Built-Waterproof-JBLCLIP4BLKAM/dp/B08PJ7JMQM/ref=sr_1_1841?dib=eyJ2IjoiMSJ9.KVI7rPBCbsuvkt4QCF7IKj1DrtAt5zBzXZJlMUanjxQGymn5A-vQVWd3tYpjiBihTzIbPmrf7pFWGOnC-1r1_6oAg1d5QO8GHOMq89Xzd5Hgh-GtIRVM5pu-vkzptVYN80vVJVY3sz1sltt47VgIXFxppVxtSgJZZWYkuK3Xl1DyNqcxvSIuThGl3pjPGubn1MbNO-_srkVDxGeWWrC4Fjty9HPcy2c79lgHHGIqayCcozHyxg0AyKs0N5HKXXy0TbU-ckroEOWPX2klTvZ--o5WSpM58Z5BBt-aDzeYjyo.f35zOGAiWB-g_fCAEN-DlnIo8NvDrbVOvgjQKpKeAuo&dib_tag=se&qid=1755801031&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1841
Audio & Media Systems,microphone,Mainstream,New,True,Current-Gen,Audio-Technica,0.95,,,,,,,,,,,,,,,,,,,,condenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Audio-Technica AT2020 Cardioid Condenser Studio XLR Microphone, Ideal for Project/Home Studio Applications",False,4.7,No Badge,Organic,1,0,0,0.0,4.787491742782046,6.90875477931522,9.566965314664872,Audio-Technica_microphone,https://m.media-amazon.com/images/I/71aLB289VuL._AC_UL320_.jpg,/Audio-Technica-AT2020-Cardioid-Condenser-Microphone/dp/B0006H92QK/ref=sr_1_1842?dib=eyJ2IjoiMSJ9.KVI7rPBCbsuvkt4QCF7IKj1DrtAt5zBzXZJlMUanjxQGymn5A-vQVWd3tYpjiBihTzIbPmrf7pFWGOnC-1r1_6oAg1d5QO8GHOMq89Xzd5Hgh-GtIRVM5pu-vkzptVYN80vVJVY3sz1sltt47VgIXFxppVxtSgJZZWYkuK3Xl1DyNqcxvSIuThGl3pjPGubn1MbNO-_srkVDxGeWWrC4Fjty9HPcy2c79lgHHGIqayCcozHyxg0AyKs0N5HKXXy0TbU-ckroEOWPX2klTvZ--o5WSpM58Z5BBt-aDzeYjyo.f35zOGAiWB-g_fCAEN-DlnIo8NvDrbVOvgjQKpKeAuo&dib_tag=se&qid=1755801031&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1842
Accessories,mount_small,Mainstream,New,False,Current-Gen,UGREEN,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plastic,"iPad, iPhone",,,,,,,,UGREEN Tablet Stand Holder Adjustable Portable Desktop Dock Office Compatible for iPad Pro 11 9.7 10.5 Air Mini 5 4 3 2 iPhone 16 15 14 13 12 Black,False,4.5,No Badge,Organic,1,0,0,0.17,2.5641798306825083,8.006700845440367,10.853387126584051,UGREEN_mount_small,https://m.media-amazon.com/images/I/51EpNRr1UrL._AC_UL320_.jpg,/UGREEN-Adjustable-Compatible-Nintendo-Samsung/dp/B07CG71KQ1/ref=sr_1_1843?dib=eyJ2IjoiMSJ9.KVI7rPBCbsuvkt4QCF7IKj1DrtAt5zBzXZJlMUanjxQGymn5A-vQVWd3tYpjiBihTzIbPmrf7pFWGOnC-1r1_6oAg1d5QO8GHOMq89Xzd5Hgh-GtIRVM5pu-vkzptVYN80vVJVY3sz1sltt47VgIXFxppVxtSgJZZWYkuK3Xl1DyNqcxvSIuThGl3pjPGubn1MbNO-_srkVDxGeWWrC4Fjty9HPcy2c79lgHHGIqayCcozHyxg0AyKs0N5HKXXy0TbU-ckroEOWPX2klTvZ--o5WSpM58Z5BBt-aDzeYjyo.f35zOGAiWB-g_fCAEN-DlnIo8NvDrbVOvgjQKpKeAuo&dib_tag=se&qid=1755801031&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1843
Peripherals & Input,keyboard,Mainstream,New,True,Current-Gen,Logitech,0.95,,,,,,,,,,,,,,,,,,,over-ear,,,,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,"Logitech MX Keys S for Mac, Wireless Keyboard, Fluid, Precise Laptop-Like Typing, Programmable Keys, Backlit, Bluetooth USB C Rechargeable for MacBook Pro, MacBook Air, iMac, iPad - Space Grey",False,4.5,No Badge,Organic,0,0,0,0.0,4.500476114873425,6.2166061010848646,7.125283091510712,Logitech_keyboard,https://m.media-amazon.com/images/I/71W-B4hRrCL._AC_UL320_.jpg,/Logitech-Laptop-Like-Programmable-Bluetooth-Rechargeable/dp/B0BXX499PC/ref=sr_1_1848?dib=eyJ2IjoiMSJ9.KVI7rPBCbsuvkt4QCF7IKj1DrtAt5zBzXZJlMUanjxQGymn5A-vQVWd3tYpjiBihTzIbPmrf7pFWGOnC-1r1_6oAg1d5QO8GHOMq89Xzd5Hgh-GtIRVM5pu-vkzptVYN80vVJVY3sz1sltt47VgIXFxppVxtSgJZZWYkuK3Xl1DyNqcxvSIuThGl3pjPGubn1MbNO-_srkVDxGeWWrC4Fjty9HPcy2c79lgHHGIqayCcozHyxg0AyKs0N5HKXXy0TbU-ckroEOWPX2klTvZ--o5WSpM58Z5BBt-aDzeYjyo.f35zOGAiWB-g_fCAEN-DlnIo8NvDrbVOvgjQKpKeAuo&dib_tag=se&qid=1755801031&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-1848
