category,market_tier,condition,is_premium_brand,tech_generation,ram_gb,storage_gb,size_value,performance_value,power_wattage,resolution_standard,cpu_gpu_tier,connectivity,brand,pack_count,confidence,product_rating,is_best_seller,is_sponsored,buy_box_availability,sustainability_tags,has_coupon,discount_percentage,log_original_price,log_purchased_last_month,log_total_reviews
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Amazon Basics,8.0,1.0,4.8,Best Seller,Organic,1,1,0,0.0,3.71284009155878,11.289794413577894,12.198609868148807
Accessories & Consumables,Premium,New,True,Current-Gen,,,,,,,,Bluetooth,Apple,1.0,1.0,4.5,No Badge,Organic,0,0,0,0.0,4.4898715616246285,9.210440366976515,9.507997527450042
Accessories & Consumables,Premium,New,True,Current-Gen,,,,,,,,,Apple,1.0,1.0,4.6,Best Seller,Organic,0,0,0,0.0,3.179719109667007,9.210440366976515,10.54812702903103
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Texas Instruments,1.0,0.95,4.6,Best Seller,Organic,0,0,0,0.0,4.614625344758847,11.51293546492023,10.703761188563927
Tablets & E-Readers,Premium,New,True,Current-Gen,,128.0,11.0,,,2K/QHD (1440p),A16,WiFi 6,Apple,1.0,1.0,4.7,Best Seller,Organic,0,1,0,0.0,5.652664603477591,9.210440366976515,8.896861744480391
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,1.5,,,,Amazon Basics,48.0,1.0,4.7,Best Seller,Organic,1,1,0,0.0,2.771963526845863,11.51293546492023,13.671177031805664
Laptops & Chromebooks,Premium,New,True,Current-Gen,16.0,256.0,13.6,12.0,,2K/QHD (1440p),M4,,Apple,1.0,1.0,4.8,Best Seller,Organic,0,1,0,0.0,6.782135365057486,9.210440366976515,7.557472901614746
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Texas Instruments,1.0,0.9,4.7,No Badge,Organic,1,0,0,0.28,2.772588722239781,11.002116507732016,9.769727562356604
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Sharpie,36.0,1.0,4.8,No Badge,Organic,1,0,0,0.0,2.9428587839469227,10.819798284210286,9.304012847838818
Smartphones & Wearables,Premium,New,True,Current-Gen,,,42.0,,,2K/QHD (1440p),,GPS,Apple,1.0,1.0,4.7,Best Seller,Organic,0,0,0,0.0,5.638781624438787,9.210440366976515,9.374667665397858
Tablets & E-Readers,Mainstream,New,True,Current-Gen,,64.0,11.0,,,,,,Samsung,1.0,0.95,4.4,No Badge,Organic,1,0,0,0.28,5.398117451625214,9.210440366976515,9.670861685832426
Networking & Smart Home,Mainstream,New,False,Current-Gen,,,,1200.0,,,,Dual Band 5GHz/2.4GHz,TP-Link,1.0,0.9,4.2,Best Seller,Organic,1,0,0,0.33,3.433664571799657,9.210440366976515,10.4195394952737
Accessories & Consumables,Mainstream,New,False,Legacy,,,8.9,,,,,,Scotch,100.0,1.0,4.9,No Badge,Organic,1,0,0,0.4,3.0440461338325417,11.156264806643742,11.189422759203678
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Duracell,24.0,1.0,4.8,No Badge,Organic,1,0,0,0.07,3.130700133964476,11.002116507732016,11.126762859116562
Accessories & Consumables,Premium,New,True,Current-Gen,,,,,,,,,Apple,1.0,0.9,4.6,No Badge,Organic,0,0,0,0.0,5.003946305945459,9.210440366976515,8.450412157725886
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,Bluetooth 5.2,JBL,1.0,1.0,4.3,No Badge,Organic,0,0,0,0.0,3.432372999130605,9.210440366976515,10.18716160359037
Accessories & Consumables,Mainstream,New,False,Legacy,,,48.0,,,,,,Scotch,6.0,0.9,4.8,Best Seller,Organic,1,0,0,0.31,3.0440461338325417,9.210440366976515,11.546128105797946
Accessories & Consumables,Budget,New,False,Legacy,,,8.5,,,,,,Amazon Basics,100.0,1.0,4.8,Best Seller,Organic,1,0,0,0.23,2.733717947850788,11.156264806643742,10.884460545216813
Accessories & Consumables,Mainstream,New,False,Current-Gen,,128.0,,100.0,,,,,Amazon Basics,1.0,1.0,4.7,Best Seller,Organic,1,0,0,0.0,2.48989419129904,9.210440366976515,11.723283630458038
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,,,,,Texas Instruments,1.0,0.95,4.8,No Badge,Organic,1,0,0,0.15,3.044522437723423,11.156264806643742,10.494685060560329
Accessories & Consumables,Budget,New,False,Current-Gen,,,,,,,,,HP,1.0,0.9,4.6,No Badge,Organic,0,0,0,0.0,3.889572876590554,10.308985993422082,9.82730820579731
Accessories & Consumables,Premium,New,True,Current-Gen,,,,,,,,,Apple,1.0,1.0,4.6,No Badge,Organic,0,0,0,0.0,4.589955020181611,9.210440366976515,8.721602344674197
Accessories & Consumables,Mainstream,New,False,Current-Gen,,2048.0,,,,,,USB 3.0,Seagate,1.0,0.95,4.6,Best Seller,Organic,1,0,0,0.0,4.3943256902608985,9.210440366976515,12.478227288988386
Audio & Video Equipment,Mainstream,New,True,Current-Gen,,,,,,,,Bluetooth,Beats,1.0,0.9,4.6,No Badge,Organic,0,0,0,0.0,4.855851080295389,9.210440366976515,9.6941852674104
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Duracell,28.0,1.0,4.8,No Badge,Organic,1,0,0,0.0,3.2831643147505627,10.819798284210286,9.738200088297951
Accessories & Consumables,Mainstream,New,False,Current-Gen,,128.0,,,,,,,SanDisk,1.0,0.95,4.8,Best Seller,Organic,1,0,0,0.12,3.2577118486533987,9.210440366976515,11.19124528445721
PC Components (Core),Premium,New,True,Current-Gen,,,,,,,Ryzen 7,,AMD,1.0,0.95,4.8,Best Seller,Organic,1,0,0,0.0,6.168564159920785,9.210440366976515,7.774015077250727
PC Components (Core),Premium,New,True,Current-Gen,,2048.0,,7450.0,,,,,Samsung,1.0,1.0,4.7,No Badge,Organic,1,0,0,0.25,5.30325515557766,9.210440366976515,9.558811758564229
Accessories & Consumables,Mainstream,New,False,Legacy,,,8.5,,,,,,HP,3.0,1.0,4.8,No Badge,Organic,1,1,0,0.07,3.110845080654496,10.59665973278358,10.785745689666076
Peripherals & Input Devices,Budget,New,False,Current-Gen,,,9.0,,,,,,Amazon Basics,1.0,0.95,4.6,Best Seller,Organic,1,0,0,0.31,3.433664571799657,10.59665973278358,7.916078096302786
Accessories & Consumables,Premium,New,True,Current-Gen,,,,,20.0,,,,Apple,1.0,1.0,4.8,No Badge,Organic,0,0,0,0.0,2.670694414558441,9.210440366976515,8.629092283913646
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,1000.0,,,,Wireless,Logitech,1.0,0.95,4.5,Best Seller,Organic,0,1,0,0.0,2.563409711275944,9.210440366976515,10.6737115082755
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,4.0,1.0,4.6,No Badge,Organic,1,0,0,0.0,4.912654885736052,9.210440366976515,6.786716950605081
Smartphones & Wearables,Mainstream,New,False,Current-Gen,,,,,,,,,Fitbit,1.0,0.95,4.3,Best Seller,Organic,1,0,0,0.2,4.614625344758847,9.210440366976515,9.9054855551988
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,4.0,1.0,4.6,No Badge,Organic,1,0,0,0.0,5.1216995126707605,9.210440366976515,7.870165946469845
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,2.0,0.95,4.6,No Badge,Organic,0,1,0,0.0,4.041119578762556,9.90353755128617,10.07601126684997
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,Wired,Logitech,1.0,1.0,4.3,Best Seller,Organic,0,0,0,0.0,2.8142103969306005,9.210440366976515,11.14306395922732
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,2.8,,,,,,Texas Instruments,1.0,0.95,4.7,No Badge,Organic,1,0,0,0.0,4.65386510752685,9.210440366976515,9.83889569664295
"Desktops, Workstations & Servers",Premium,New,True,Cutting-Edge,16.0,256.0,,,,,M4,Gigabit Ethernet,Apple,1.0,1.0,4.8,Best Seller,Organic,0,1,0,0.0,6.294804640416468,8.517393171418904,7.213031659834869
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,20.0,,,,Anker,2.0,0.9,4.6,Amazon's,Organic,1,1,0,0.37,2.995232148512309,9.210440366976515,9.889642145714076
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,1.0,1.0,4.6,No Badge,Organic,1,0,0,0.26,4.288677031682191,9.90353755128617,10.090713728663538
Tablets & E-Readers,Premium,New,True,Current-Gen,,128.0,11.0,,,2K/QHD (1440p),M3,WiFi 6E,Apple,1.0,1.0,4.8,No Badge,Organic,0,1,0,0.0,6.244710442238636,8.699681400989514,7.348587530927593
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Amazon Basics,8.0,0.95,4.7,Best Seller,Organic,1,1,0,0.0,2.6166656393003573,11.002116507732016,12.352697937665852
Displays & Mounting,Mainstream,New,False,Current-Gen,,,40.0,,,FHD (1080p),,Bluetooth,VIZIO,1.0,0.95,4.1,Best Seller,Organic,1,0,0,0.19,5.141605075260502,9.210440366976515,8.488176242345745
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,4.0,1.0,4.6,No Badge,Organic,1,0,0,0.0,4.681112189563248,9.90353755128617,8.843903650835497
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,FHD (1080p),,USB-A,Logitech,1.0,0.95,4.4,Best Seller,Organic,1,1,0,0.0,3.7035217308508064,9.210440366976515,10.11431557812769
Laptops & Chromebooks,Premium,New,True,Cutting-Edge,24.0,512.0,14.2,,,2K/QHD (1440p),M4 Pro,,Apple,1.0,1.0,4.8,No Badge,Organic,0,1,0,0.0,7.407445129535729,7.601402334583733,7.10085190894405
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,4K/UHD (2160p),,,Roku,1.0,1.0,4.5,No Badge,Organic,0,1,0,0.0,3.8284239815518326,9.210440366976515,6.61338421837956
Gaming Systems & VR,Premium,New,True,Current-Gen,,512.0,,,,2K/QHD (1440p),,,Meta,1.0,1.0,4.5,Best Seller,Organic,0,0,0,0.0,6.186311499267078,9.105090961257083,8.106816038947052
Accessories & Consumables,Mainstream,New,True,Current-Gen,,,,,,,,,HP,4.0,1.0,4.6,No Badge,Organic,1,0,0,0.0,5.04915063032459,9.210440366976515,8.756367559802975
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,1.0,1.0,4.7,No Badge,Organic,0,1,0,0.0,4.157162854614252,9.210440366976515,10.875364351649829
Laptops & Chromebooks,Mainstream,New,False,Current-Gen,4.0,64.0,14.0,,,HD/HD+,Celeron N4020,,HP,1.0,0.95,4.1,No Badge,Organic,1,0,0,0.25,5.442374419541463,9.210440366976515,8.247743887225516
Accessories & Consumables,Mainstream,New,False,Legacy,,,1.88,,,,,,Scotch,6.0,1.0,4.8,No Badge,Organic,1,0,0,0.47,3.5052570515869337,10.308985993422082,9.672122799562842
Accessories & Consumables,Mainstream,New,True,Current-Gen,,256.0,,190.0,,,,,SanDisk,1.0,0.9,4.8,No Badge,Organic,1,0,0,0.29,3.58324112209094,9.210440366976515,11.748692997469808
Audio & Video Equipment,Premium,New,True,Current-Gen,,,,,,,,Wireless,Sony,1.0,1.0,4.6,No Badge,Organic,1,1,0,0.43,5.855071922202427,9.210440366976515,11.013649552432474
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Fujifilm,5.0,0.95,4.7,Best Seller,Organic,1,0,0,0.0,4.119037174812473,9.210440366976515,8.22282213081366
Accessories & Consumables,Mainstream,New,False,Legacy,,,30.0,,,,,,Post-it,2.0,1.0,4.8,Best Seller,Organic,1,0,0,0.34,4.204543354520176,9.210440366976515,8.832587702434553
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Avery,1.0,0.9,4.8,Best Seller,Organic,1,0,0,0.27,1.922787731634459,10.59665973278358,8.262558973010657
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,,,,Wireless,Epson,1.0,0.95,4.2,Best Seller,Organic,1,1,0,0.21,5.484755438853831,8.853808274977197,9.536473630802217
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,3.0,0.9,4.6,Amazon's,Organic,0,0,0,0.0,4.464642950851115,9.210440366976515,9.481359383531425
Accessories & Consumables,Budget,New,False,Current-Gen,,,,,,,,,Amazon Basics,1000.0,0.9,4.6,Best Seller,Organic,1,0,0,0.1,1.986503546020567,10.819798284210286,10.870623478415853
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Amazon Basics,12.0,1.0,4.6,No Badge,Organic,0,0,0,0.0,2.0681277817795625,10.819798284210286,10.413702990176423
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Amazon Basics,1.0,1.0,4.4,Best Seller,Organic,1,0,0,0.1,3.5550623063795967,10.308985993422082,11.075102440753938
Accessories & Consumables,Mainstream,New,True,Current-Gen,,,,65.0,65.0,,,,Anker,1.0,0.9,4.6,No Badge,Organic,1,1,0,0.35,3.7133281345162463,9.210440366976515,9.757305042358048
Displays & Mounting,Mainstream,New,False,Current-Gen,,,27.0,100.0,,FHD (1080p),,"HDMI x2, DisplayPort",Sceptre,1.0,0.95,4.4,Best Seller,Organic,1,0,0,0.18,4.795542580971757,9.210440366976515,8.866722667194098
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,4K/UHD (2160p),,Long-Range Wi-Fi,Roku,1.0,0.95,4.7,No Badge,Organic,0,1,0,0.0,3.5550623063795967,9.210440366976515,11.41048291014307
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,,,,Single-band Wi-Fi,HP,1.0,0.9,3.9,Best Seller,Organic,1,1,0,0.33,4.5107496103686,9.90353755128617,9.32500744695431
Displays & Mounting,Budget,New,False,Current-Gen,,,55.0,,,,,,Amazon Basics,1.0,0.9,4.6,No Badge,Organic,1,0,0,0.06,3.241810796150697,9.210440366976515,10.852516492998056
Audio & Video Equipment,Mainstream,New,True,Current-Gen,,,,30.0,,FHD (1080p),,,Logitech,1.0,0.9,4.6,No Badge,Organic,1,1,0,0.14,4.262539022051294,9.210440366976515,9.947695807200448
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Canon,2.0,1.0,4.6,No Badge,Organic,1,0,0,0.13,3.7133281345162463,9.90353755128617,9.84225024306494
Audio & Video Equipment,Mainstream,New,True,Current-Gen,,,,,,,,Bluetooth,Samsung,2.0,1.0,4.2,No Badge,Organic,1,0,0,0.24,5.525413097700675,9.210440366976515,8.07402621612406
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,1.0,0.95,4.7,No Badge,Organic,1,1,0,0.13,3.6011405398059297,10.308985993422082,11.451677523930725
Peripherals & Input Devices,Mainstream,New,True,Current-Gen,,,,,,,,Bluetooth,Xbox,1.0,0.95,4.6,Best Seller,Organic,0,0,0,0.17,4.18950321539533,9.210440366976515,10.130822308468806
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,HP,4.0,0.95,4.6,No Badge,Organic,1,0,0,0.0,4.552718325985667,9.210440366976515,7.077498053569231
Audio & Video Equipment,Premium,New,True,Current-Gen,,,,,,,,Bluetooth,Apple,1.0,1.0,4.6,No Badge,Organic,0,0,0,0.0,6.310190968315922,8.699681400989514,7.620705086838262
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,330.0,,,,APC,1.0,0.9,4.5,Best Seller,Organic,0,0,0,0.0,4.499809670330265,9.210440366976515,10.484221628517084
Accessories & Consumables,Budget,New,False,Current-Gen,,,,,,,,,Amazon Basics,24.0,1.0,4.7,No Badge,Organic,1,0,0,0.13,2.554899021608035,10.308985993422082,10.508732049920162
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,8.9,,,,,,Scotch,200.0,1.0,4.9,No Badge,Organic,1,0,0,0.42,3.790758917935107,9.90353755128617,10.24998083886772
Smartphones & Wearables,Mainstream,New,True,Current-Gen,,,,,,,,Bluetooth,Fitbit,1.0,1.0,4.1,No Badge,Organic,1,0,0,0.25,5.081093757744817,9.105090961257083,9.0641578617981
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Anker,1.0,0.9,4.5,No Badge,Organic,0,1,0,0.0,3.0814511489565284,9.210440366976515,11.612381583933727
Accessories & Consumables,Mainstream,New,True,Current-Gen,,1024.0,,1050.0,,,,USB 3.2 Gen 2,SAMSUNG,1.0,1.0,4.7,Best Seller,Organic,1,0,0,0.27,4.709440107163888,9.210440366976515,10.486484989595086
Accessories & Consumables,Mainstream,New,False,Legacy,,,0.9,,,,,,BIC,24.0,0.95,4.8,No Badge,Organic,1,0,0,0.5,2.301584592660462,10.59665973278358,10.064542911536916
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,12000.0,,,,Wireless,Logitech,1.0,0.95,4.6,Best Seller,Organic,0,0,0,0.0,3.251536607107749,9.210440366976515,10.445579258176116
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,Bluetooth 5.4,TRANSFORMERS,1.0,0.9,4.2,No Badge,Sponsored,1,0,0,0.27,3.5260663637080247,5.303304908059076,5.043425116919247
Peripherals & Input Devices,Budget,New,False,Legacy,,,9.0,,,,,,Scotch,1.0,0.9,4.7,No Badge,Organic,1,0,0,0.13,3.845669504878125,9.90353755128617,10.995628950073923
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,Bluetooth 5.4,Monster,1.0,1.0,4.0,No Badge,Sponsored,1,0,0,0.4,3.931629535067065,3.9318256327243257,7.444833273892193
Peripherals & Input Devices,Budget,New,False,Legacy,,,,,,,,,HP,1.0,0.9,4.7,No Badge,Organic,0,1,0,0.0,4.157162854614252,9.210440366976515,10.057838212366052
PC Components (Core),Premium,New,True,Current-Gen,,2048.0,,7250.0,,,,,Samsung,1.0,0.95,4.8,No Badge,Organic,1,0,0,0.32,5.181727368938661,9.210440366976515,8.698013622083925
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,2.0,0.95,4.7,No Badge,Organic,0,0,0,0.0,4.232511029605105,9.210440366976515,10.714773261113114
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,34.0,,,,,,Amazon Basics,60.0,1.0,4.5,Best Seller,Organic,1,1,0,0.0,3.331847303527362,9.90353755128617,12.378259687843531
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,HP,3.0,1.0,4.6,No Badge,Organic,0,0,0,0.0,4.583844399273339,9.210440366976515,9.845328638362597
Accessories & Consumables,Premium,Renewed/Refurbished,True,Current-Gen,,,,,,,,,Apple,1.0,0.9,4.1,Best Seller,Organic,0,0,0,0.15,4.584865432647727,9.210440366976515,9.726869698658852
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,4K/UHD (2160p),,Bluetooth & Wi-Fi 6,Roku,1.0,0.95,4.6,No Badge,Organic,1,1,0,0.0,4.595018834931716,9.210440366976515,8.421562960400987
Accessories & Consumables,Premium,New,True,Current-Gen,,,200.0,,,,,,Apple,1.0,1.0,4.7,No Badge,Organic,0,0,0,0.0,2.990719731730447,9.210440366976515,7.888334500738654
Laptops & Chromebooks,Premium,New,True,Current-Gen,16.0,256.0,15.3,12.0,,2K/QHD (1440p),M4,,Apple,1.0,1.0,4.8,No Badge,Organic,0,1,0,0.0,6.824460622784326,8.294299608857235,6.704414354964107
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,,,,Wireless,Logitech,1.0,0.95,4.6,No Badge,Organic,1,0,0,0.07,3.366950942933564,9.210440366976515,10.41171981644952
Networking & Smart Home,Mainstream,New,False,Current-Gen,,,,,,,,WiFi 6,TP-Link,1.0,0.95,4.4,Best Seller,Organic,1,1,0,0.45,4.6150215020384655,9.210440366976515,10.01761948658104
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,2.0,1.0,4.7,No Badge,Organic,0,1,0,0.0,4.023385473281607,9.210440366976515,10.21181748321106
PC Components (Core),Mainstream,New,False,Current-Gen,,,,,,,Ryzen 7,,AMD,1.0,0.95,4.8,No Badge,Organic,1,0,0,0.2,6.1092475827643655,8.517393171418904,8.653470809708786
Accessories & Consumables,Premium,New,True,Current-Gen,,,,,,,,Bluetooth,Beats,1.0,0.9,4.1,No Badge,Organic,0,0,0,0.0,5.525253716100942,8.987321812850125,7.659642954564682
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Amazon Basics,500.0,0.9,4.8,No Badge,Organic,1,0,0,0.0,2.995232148512309,9.90353755128617,9.742496866444002
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,,,,2.4 GHz,Logitech,1.0,0.9,4.4,No Badge,Organic,0,0,0,0.0,3.1637858585502405,9.210440366976515,10.611991216416763
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,EPSON,2.0,0.95,4.6,No Badge,Organic,1,0,0,0.0,4.481758841072857,9.210440366976515,8.494947582468917
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Brother,1.0,1.0,4.7,Best Seller,Organic,1,0,0,0.0,4.531523645819793,9.210440366976515,10.417059401970144
Gaming Systems & VR,Mainstream,New,True,Current-Gen,,,,,,,,,Nintendo,1.0,1.0,4.7,Best Seller,Organic,0,0,0,0.12,5.831853151340319,0.0,9.139810605785655
Audio & Video Equipment,Mainstream,New,True,Current-Gen,,,,,,,,Bluetooth,Beats,1.0,0.95,4.1,No Badge,Organic,0,0,0,0.0,4.5427627258594745,8.987321812850125,8.568646473005153
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Amazon Basics,12.0,1.0,4.7,Best Seller,Organic,1,0,0,0.0,2.6720775406433925,10.308985993422082,11.927667409858602
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,Bluetooth,Soundcore,1.0,0.95,4.5,No Badge,Organic,0,1,0,0.0,3.786232999369848,9.210440366976515,11.403489991270373
Displays & Mounting,Mainstream,New,False,Current-Gen,,,22.0,100.0,,FHD (1080p),,"HDMI, VGA",Philips,1.0,1.0,4.6,Amazon's,Organic,0,0,0,0.0,4.222444564849416,9.210440366976515,8.912742634737025
Accessories & Consumables,Mainstream,New,False,Current-Gen,,256.0,,150.0,,,,,SanDisk,1.0,1.0,4.7,No Badge,Organic,1,0,0,0.23,3.295466427029913,9.210440366976515,12.300077428219764
Accessories & Consumables,Mainstream,New,False,Current-Gen,,128.0,,,,,,,SanDisk,1.0,1.0,4.6,Best Seller,Organic,1,0,0,0.0,2.659559991941776,9.210440366976515,12.184843901813206
Accessories & Consumables,Budget,New,False,Current-Gen,,,,900.0,900.0,,,,Amazon Basics,1.0,0.9,4.3,No Badge,Organic,1,0,0,0.0,3.208421366964342,9.90353755128617,10.520077610373916
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,1.0,1.0,4.7,No Badge,Organic,0,0,0,0.0,4.996468754178678,8.853808274977197,7.994969522697877
Displays & Mounting,Mainstream,New,False,Current-Gen,,,27.0,120.0,,FHD (1080p),,,Acer,1.0,0.95,4.4,No Badge,Organic,1,0,0,0.27,5.017213609456379,9.105090961257083,7.004881989712859
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,1.0,1.0,4.7,No Badge,Organic,0,1,0,0.0,3.634687225030509,9.210440366976515,10.236525326708708
Networking & Smart Home,Mainstream,New,False,Current-Gen,,,,,,,,WiFi 6,TP-Link,3.0,1.0,4.4,No Badge,Organic,1,1,0,0.3,5.30325515557766,9.105090961257083,9.628853318933604
Audio & Video Equipment,Mainstream,New,True,Current-Gen,,,,40.0,,,,Bluetooth,Beats,1.0,0.95,4.5,No Badge,Organic,0,0,0,0.0,5.148250005283415,8.853808274977197,10.010861040804455
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Scotch,100.0,0.95,4.9,No Badge,Organic,1,0,0,0.22,3.4339872044851463,9.210440366976515,9.20331575703922
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Powermax,24.0,1.0,4.6,No Badge,Organic,1,1,0,0.0,2.0781907597781832,10.59665973278358,10.161418929336
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,2.0,1.0,4.7,No Badge,Organic,0,0,0,0.0,3.804215052793841,9.210440366976515,10.603684822708557
Peripherals & Input Devices,Premium,New,True,Current-Gen,,,,,,,,,Apple,1.0,0.95,4.6,No Badge,Organic,0,0,0,0.0,4.103799720992856,9.210440366976515,9.89358872035688
