category,subtype,market_tier,condition,is_premium_brand,tech_generation,brand,confidence,printer_tech,is_color,is_multifunction,paper_size_max,ppm,pack_count,is_xl,ups_capacity_value,ups_capacity_unit,is_rackmount,rack_u,power_capacity_value,power_capacity_unit,audio_channels,total_power_w,has_dolby_atmos,has_subwoofer,has_anc,form_factor,mic_type,audio_resolution,video_output_res,switch_type,dpi,has_screen,is_thunderbolt,max_resolution,read_speed_mbs,scan_engine,wifi_standard,speed_class,node_count,frequency_bands,has_poe,multi_gig_ports,power_source,smart_protocol,is_outdoor,screen_size_in,resolution_standard,panel_tech,refresh_rate_hz,is_smart,mount_type,adjustment_type,num_screens,max_weight_kg,is_heavy_duty,sensor_format,max_video_res,is_body_only,mount_system,megapixels,is_pro_line,focal_range,max_aperture_f,is_kit,component_series,vram_gb,has_x3d,ram_gb,storage_gb,tech_gen,power_wattage,efficiency_rating,chipset,is_aio,is_gaming,platform_family,is_digital_edition,nas_bays,model_name,cellular_type,has_stylus,case_size_mm,is_rugged,is_specialized,gps_activity,has_touchscreen,cable_length_m,interface_type,is_braided,material,brand_compatibility,is_active,is_original,connector_gender,is_wireless,port_count,storage_type,pd_wattage,case_keyboard,product_rating,is_best_seller,is_sponsored,buy_box_availability,sustainability_tags,has_coupon,discount_percentage,log_original_price,log_purchased_last_month,log_total_reviews,brand_subtype
Audio & Media Systems,earbuds,Premium,New,True,Current-Gen,Apple,0.95,,,,,,,,,,,,,,,,,,True,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.5,No Badge,Organic,0,0,0,0.0,4.4898715616246285,9.210440366976515,9.507997527450042,Apple_earbuds
Networking & Smart Home,smart_tag,Mainstream,New,True,Current-Gen,Apple,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,Best Seller,Organic,0,0,0,0.0,3.179719109667007,9.210440366976515,10.54812702903103,Apple_smart_tag
"Office, Printing & Power",calculator,Mainstream,New,False,Current-Gen,Texas Instruments,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,Best Seller,Organic,0,0,0,0.0,4.614625344758847,11.51293546492023,10.703761188563927,Texas Instruments_calculator
Mobile Devices,tablet,Premium,New,True,Current-Gen,Apple,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,128.0,,,,,,,,,,iPad 11-inch,WiFi,,,,,,True,,,,,,,,,,,,,False,4.7,Best Seller,Organic,0,1,0,0.0,5.652664603477591,9.210440366976515,8.896861744480391,Apple_tablet
"Office, Printing & Power",battery,Mainstream,New,False,Legacy,Amazon Basics,1.0,,,,,,48.0,,,,,,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,Best Seller,Organic,1,1,0,0.0,2.771963526845863,11.51293546492023,13.671177031805664,Amazon Basics_battery
Computers & Gaming,laptop,Premium,New,True,Current-Gen,Apple,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,,,,,,,,,,,,,,12.0,,,,,M4,,,16.0,256.0,,,,,,,,,,MacBook Air,,,,,,,,,,,,,,,,,,,,False,4.8,Best Seller,Organic,0,1,0,0.0,6.782135365057486,9.210440366976515,7.557472901614746,Apple_laptop
"Office, Printing & Power",calculator,Mainstream,New,False,Current-Gen,Texas Instruments,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,1,0,0,0.28,2.772588722239781,11.002116507732016,9.769727562356604,Texas Instruments_calculator
Mobile Devices,smartwatch,Premium,New,True,Current-Gen,Apple,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Watch Series 10,,,,,,,,,,,,,,,,,,,,False,4.7,Best Seller,Organic,0,0,0,0.0,5.638781624438787,9.210440366976515,9.374667665397858,Apple_smartwatch
Mobile Devices,tablet,Mainstream,New,True,Current-Gen,Samsung,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,Galaxy Tab A9+,WiFi,,,,,,True,,,,,,,,,,,,,False,4.4,No Badge,Organic,1,0,0,0.28,5.398117451625214,9.210440366976515,9.670861685832426,Samsung_tablet
Networking & Smart Home,wifi_extender,Mainstream,New,False,Current-Gen,TP-Link,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_5_AC,AC1200,,Dual-Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet,,,,,,,,,,,False,4.2,Best Seller,Organic,1,0,0,0.33,3.433664571799657,9.210440366976515,10.4195394952737,TP-Link_wifi_extender
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Scotch,0.95,,,,A4,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.9,No Badge,Organic,1,0,0,0.4,3.0440461338325417,11.156264806643742,11.189422759203678,Scotch_toner_ink
"Office, Printing & Power",battery,Mainstream,New,False,Current-Gen,Duracell,0.95,,,,,,24.0,,,,,,1000.0,mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,No Badge,Organic,1,0,0,0.07,3.130700133964476,11.002116507732016,11.126762859116562,Duracell_battery
Accessories,stylus,Mainstream,New,True,Current-Gen,Apple,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,iPad,,,,True,,,,False,4.6,No Badge,Organic,0,0,0,0.0,5.003946305945459,9.210440366976515,8.450412157725886,Apple_stylus
Audio & Media Systems,earbuds,Mainstream,New,False,Current-Gen,JBL,0.95,,,,,,,,,,,,,,,,,,,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.3,No Badge,Organic,0,0,0,0.0,3.432372999130605,9.210440366976515,10.18716160359037,JBL_earbuds
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Scotch,0.9,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,Best Seller,Organic,1,0,0,0.31,3.0440461338325417,9.210440366976515,11.546128105797946,Scotch_toner_ink
"Office, Printing & Power",folder,Mainstream,New,False,Current-Gen,Amazon Basics,1.0,,,,A4,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,Best Seller,Organic,1,0,0,0.23,2.733717947850788,11.156264806643742,10.884460545216813,Amazon Basics_folder
Peripherals & Input,sd_card,Mainstream,New,False,Current-Gen,Amazon Basics,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flash,,False,4.7,Best Seller,Organic,1,0,0,0.0,2.48989419129904,9.210440366976515,11.723283630458038,Amazon Basics_sd_card
"Office, Printing & Power",calculator,Mainstream,New,False,Current-Gen,Texas Instruments,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,No Badge,Organic,1,0,0,0.15,3.044522437723423,11.156264806643742,10.494685060560329,Texas Instruments_calculator
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,HP,1.0,,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP,,,,,,,,False,4.6,No Badge,Organic,0,0,0,0.0,3.889572876590554,10.308985993422082,9.82730820579731,HP_toner_ink
Accessories,stylus,Mainstream,New,True,Current-Gen,Apple,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB-C,,,Apple,,,M-to-F,,,,,False,4.6,No Badge,Organic,0,0,0,0.0,4.589955020181611,9.210440366976515,8.721602344674197,Apple_stylus
Peripherals & Input,external_drive,Mainstream,New,False,Current-Gen,Seagate,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048.0,,,,,,,,,,,,,,,,,,,USB 3.0,,,,,,,,,HDD,,False,4.6,Best Seller,Organic,1,0,0,0.0,4.3943256902608985,9.210440366976515,12.478227288988386,Seagate_external_drive
Audio & Media Systems,headphones,Mainstream,New,True,Current-Gen,Beats,0.95,,,,,,,,,,,,,,,,,,,on-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.6,No Badge,Organic,0,0,0,0.0,4.855851080295389,9.210440366976515,9.6941852674104,Beats_headphones
"Office, Printing & Power",battery,Mainstream,New,False,Current-Gen,Duracell,0.95,,,,,,1.0,,,,,,2000.0,mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,No Badge,Organic,1,0,0,0.0,3.2831643147505627,10.819798284210286,9.738200088297951,Duracell_battery
Peripherals & Input,sd_card,Mainstream,New,True,Current-Gen,SanDisk,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,,,,,,,,,,,,,,,,,,,SDXC,,,,,,,,,Flash,,False,4.8,Best Seller,Organic,1,0,0,0.12,3.2577118486533987,9.210440366976515,11.19124528445721,SanDisk_sd_card
PC Components (Core),cpu,Mainstream,New,True,Current-Gen,AMD,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 7 9800X3D,,True,,,Gen5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,Best Seller,Organic,1,0,0,0.0,6.168564159920785,9.210440366976515,7.774015077250727,AMD_cpu
PC Components (Core),ssd_internal,Premium,New,True,Current-Gen,Samsung,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen4,,,,2048.0,Gen4,,,,,,,,,MZ-V9P2T0B/AM,,,,,,,,,,,,,,,,,,NVMe,,False,4.7,No Badge,Organic,1,0,0,0.25,5.30325515557766,9.210440366976515,9.558811758564229,Samsung_ssd_internal
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,HP,0.9,,,,A4,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,No Badge,Organic,1,1,0,0.07,3.110845080654496,10.59665973278358,10.785745689666076,HP_toner_ink
"Office, Printing & Power",charger,Mainstream,New,True,Current-Gen,Apple,0.95,,,,,,,,,,,,20.0,W,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,USB-C,,,Apple,,,M-to-F,False,,,,False,4.8,No Badge,Organic,0,0,0,0.0,2.670694414558441,9.210440366976515,8.629092283913646,Apple_charger
Peripherals & Input,mouse,Mainstream,New,False,Current-Gen,Logitech,1.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.5,Best Seller,Organic,0,1,0,0.0,2.563409711275944,9.210440366976515,10.6737115082755,Logitech_mouse
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,HP,1.0,,True,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.0,4.912654885736052,9.210440366976515,6.786716950605081,HP_toner_ink
Mobile Devices,fitness_band,Mainstream,New,False,Current-Gen,Fitbit,0.95,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inspire 3,,,,,,,True,,,,,,,,,True,,,,False,4.3,Best Seller,Organic,1,0,0,0.2,4.614625344758847,9.210440366976515,9.9054855551988,Fitbit_fitness_band
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,HP,1.0,,True,,,,4.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.0,5.1216995126707605,9.210440366976515,7.870165946469845,HP_toner_ink
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,HP,1.0,,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,0,1,0,0.0,4.041119578762556,9.90353755128617,10.07601126684997,HP_toner_ink
Audio & Media Systems,headphones,Mainstream,New,False,Current-Gen,Logitech,0.95,,,,,,,,,,,,,,,,,,,over-ear,condenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,USB,,,,,,,False,,,,False,4.3,Best Seller,Organic,0,0,0,0.0,2.8142103969306005,9.210440366976515,11.14306395922732,Logitech_headphones
"Office, Printing & Power",calculator,Mainstream,New,False,Current-Gen,Texas Instruments,0.95,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TI-84 Plus,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,1,0,0,0.0,4.65386510752685,9.210440366976515,9.83889569664295,Texas Instruments_calculator
Computers & Gaming,mini_pc,Premium,New,True,Current-Gen,Apple,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,16.0,256.0,,,,,,,,,,Mac mini,,,,,,,,,,,,,,,,,,,,False,4.8,Best Seller,Organic,0,1,0,0.0,6.294804640416468,8.517393171418904,7.213031659834869,Apple_mini_pc
"Office, Printing & Power",charger,Mainstream,New,True,Current-Gen,Anker,0.95,,,,,,2.0,,,,,,20.0,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,False,4.6,Amazon's,Organic,1,1,0,0.37,2.995232148512309,9.210440366976515,9.889642145714076,Anker_charger
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,HP,1.0,Inkjet,False,False,A4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.26,4.288677031682191,9.90353755128617,10.090713728663538,HP_toner_ink
Mobile Devices,tablet,Premium,New,True,Current-Gen,Apple,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,128.0,,,,,,,,,,,WiFi,,,,,,,,,,,,,,,,,,,False,4.8,No Badge,Organic,0,1,0,0.0,6.244710442238636,8.699681400989514,7.348587530927593,Apple_tablet
"Office, Printing & Power",battery,Mainstream,New,False,Legacy,Amazon Basics,0.9,,,,,,8.0,,,,,,9.0,Wh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,Best Seller,Organic,1,1,0,0.0,2.6166656393003573,11.002116507732016,12.352697937665852,Amazon Basics_battery
Displays & Mounting,tv,Mainstream,New,False,Current-Gen,VIZIO,0.95,,,,,,,,,,,,,,,,,,,,,,1080p,,,,,,,,,,,,,,,,,40.0,FHD_1080p,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VFD40M-08,,,,,,,,,,,,,,,,,,,,False,4.1,Best Seller,Organic,1,0,0,0.19,5.141605075260502,9.210440366976515,8.488176242345745,VIZIO_tv
"Office, Printing & Power",toner_ink,Mainstream,New,True,Current-Gen,HP,1.0,,True,,,,4.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.0,4.681112189563248,9.90353755128617,8.843903650835497,HP_toner_ink
"Cameras, Photography & Video",webcam,Mainstream,New,True,Current-Gen,Logitech,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.4,Best Seller,Organic,1,1,0,0.0,3.7035217308508064,9.210440366976515,10.11431557812769,Logitech_webcam
Computers & Gaming,laptop,Premium,New,True,Current-Gen,Apple,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,M4 Pro,,,24.0,512.0,,,,,,,,,,MacBook Pro,,,,,,,,,,,,,,,,,,,,False,4.8,No Badge,Organic,0,1,0,0.0,7.407445129535729,7.601402334583733,7.10085190894405,Apple_laptop
Accessories,remote_control,Mainstream,New,False,Current-Gen,Roku,0.9,,,,,,,,,,,,,,,,,,,,,,4K_UHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,4K,,,,,,,,,,,,,,,,,,,,,,Roku Streaming Stick Plus 2025,,,,,,,,,,,,,,,,,,,,False,4.5,No Badge,Organic,0,1,0,0.0,3.8284239815518326,9.210440366976515,6.61338421837956,Roku_remote_control
Computers & Gaming,vr_headset,Premium,New,True,Current-Gen,Meta,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,False,4.5,Best Seller,Organic,0,0,0,0.0,6.186311499267078,9.105090961257083,8.106816038947052,Meta_vr_headset
"Office, Printing & Power",toner_ink,Mainstream,New,True,Current-Gen,HP,0.95,,True,,,,4.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.0,5.04915063032459,9.210440366976515,8.756367559802975,HP_toner_ink
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,HP,0.95,Inkjet,False,False,A4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,0,1,0,0.0,4.157162854614252,9.210440366976515,10.875364351649829,HP_toner_ink
